energy_densityc2,pressurec2
1.625426e+10,1.602194e+07
1.663324e+10,1.650018e+07
1.702106e+10,1.699479e+07
1.741796e+10,1.750375e+07
1.782408e+10,1.802836e+07
1.823966e+10,1.856640e+07
1.866498e+10,1.912228e+07
1.910017e+10,1.969531e+07
1.954555e+10,2.028300e+07
2.000133e+10,2.088825e+07
2.046767e+10,2.151193e+07
2.094495e+10,2.215365e+07
2.143335e+10,2.281461e+07
2.193313e+10,2.349519e+07
2.244458e+10,2.419778e+07
2.296800e+10,2.491829e+07
2.350357e+10,2.566152e+07
2.405163e+10,2.642423e+07
2.461247e+10,2.721225e+07
2.518645e+10,2.802106e+07
2.577375e+10,2.885657e+07
2.637481e+10,2.971399e+07
2.698982e+10,3.059703e+07
2.761924e+10,3.150616e+07
2.826333e+10,3.244203e+07
2.892244e+10,3.340599e+07
2.959693e+10,3.439828e+07
3.028715e+10,3.542021e+07
3.099346e+10,3.647218e+07
3.171624e+10,3.755176e+07
3.245588e+10,3.866704e+07
3.321284e+10,3.981036e+07
3.398738e+10,4.098840e+07
3.477999e+10,4.220352e+07
3.559115e+10,4.345446e+07
3.642115e+10,4.473445e+07
3.727059e+10,4.606283e+07
3.813984e+10,4.741964e+07
3.902938e+10,4.882220e+07
3.993964e+10,5.026006e+07
4.087114e+10,5.174685e+07
4.182437e+10,5.327038e+07
4.279984e+10,5.484599e+07
4.379804e+10,5.646077e+07
4.481963e+10,5.812410e+07
4.586495e+10,5.983538e+07
4.693475e+10,6.159706e+07
4.802939e+10,6.341115e+07
4.914968e+10,6.527781e+07
5.029610e+10,6.719204e+07
5.146926e+10,6.916940e+07
5.266977e+10,7.120650e+07
5.389829e+10,7.329426e+07
5.515547e+10,7.544258e+07
5.644197e+10,7.765419e+07
5.775849e+10,7.993030e+07
5.910517e+10,8.186010e+07
6.048380e+10,8.425504e+07
6.189459e+10,8.672005e+07
6.333842e+10,8.924737e+07
6.481592e+10,9.185806e+07
6.632776e+10,9.453305e+07
6.787501e+10,9.729746e+07
6.945834e+10,1.001322e+08
7.107861e+10,1.030490e+08
7.273668e+10,1.060485e+08
7.443342e+10,1.091373e+08
7.616974e+10,1.123011e+08
7.794675e+10,1.155709e+08
7.976504e+10,1.189360e+08
8.162590e+10,1.223828e+08
8.353002e+10,1.259291e+08
8.547874e+10,1.295945e+08
8.747292e+10,1.333491e+08
8.951360e+10,1.372119e+08
9.160171e+10,1.411890e+08
9.373874e+10,1.452776e+08
9.592582e+10,1.494682e+08
9.816372e+10,1.537965e+08
1.004538e+11,1.582315e+08
1.027974e+11,1.628028e+08
1.051958e+11,1.675055e+08
1.076500e+11,1.723343e+08
1.101616e+11,1.773022e+08
1.127319e+11,1.824117e+08
1.153621e+11,1.876677e+08
1.180537e+11,1.930530e+08
1.208081e+11,1.986156e+08
1.236268e+11,2.043098e+08
1.265112e+11,2.101938e+08
1.294629e+11,2.162219e+08
1.324838e+11,2.224188e+08
1.355749e+11,2.287963e+08
1.387384e+11,2.353516e+08
1.419754e+11,2.420659e+08
1.452883e+11,2.490036e+08
1.486784e+11,2.561197e+08
1.521477e+11,2.634382e+08
1.556979e+11,2.709549e+08
1.593309e+11,2.786790e+08
1.630488e+11,2.866219e+08
1.668537e+11,2.947898e+08
1.707470e+11,3.031892e+08
1.747317e+11,3.118266e+08
1.788088e+11,3.206721e+08
1.829815e+11,3.298031e+08
1.872512e+11,3.391496e+08
1.916210e+11,3.487639e+08
1.960931e+11,3.586493e+08
2.006687e+11,3.688067e+08
2.053520e+11,3.792567e+08
2.101442e+11,3.900012e+08
2.150481e+11,4.009919e+08
2.200670e+11,4.122924e+08
2.252026e+11,4.239654e+08
2.304585e+11,4.359075e+08
2.358365e+11,4.481840e+08
2.413411e+11,4.608024e+08
