mass,radius,fmode
4.344429647330178258e+33,1.148701000000000000e+06,2.519387625425408714e+03
4.342796793086454475e+33,1.160801000000000000e+06,2.493787426059918744e+03
4.338350773844168556e+33,1.172701000000000000e+06,2.468629395560860758e+03
4.331483797985744614e+33,1.184501000000000000e+06,2.444087918201971661e+03
4.322386786389565589e+33,1.195901000000000000e+06,2.420322994211377591e+03
4.311046718074715615e+33,1.206901000000000000e+06,2.397515642928530724e+03
4.297170543691699524e+33,1.217301000000000000e+06,2.375881230532447262e+03
4.280110074780741129e+33,1.227101000000000000e+06,2.355614406770312598e+03
4.258780208572896772e+33,1.236001000000000000e+06,2.336928759373251069e+03
4.231559051818998470e+33,1.244001000000000000e+06,2.319980788473871598e+03
4.196229958921682204e+33,1.250901000000000000e+06,2.304924632560297596e+03
4.149968209295096218e+33,1.256601000000000000e+06,2.291848808161689703e+03
4.089562445971054487e+33,1.260701000000000000e+06,2.280872210134821671e+03
4.011917147537657475e+33,1.263201000000000000e+06,2.271959054658541845e+03
3.914947989794133632e+33,1.263901000000000000e+06,2.264981408848679621e+03
3.798394982738698935e+33,1.262701000000000000e+06,2.259624959262490847e+03
3.664140291600413010e+33,1.259701000000000000e+06,2.255385029898272933e+03
3.515663882346859679e+33,1.255201000000000000e+06,2.251523933699013014e+03
3.357117645528880427e+33,1.249401000000000000e+06,2.247519513795682542e+03
3.192479948762672931e+33,1.242601000000000000e+06,2.242636767122231049e+03
3.025165336704771945e+33,1.235201000000000000e+06,2.236565383719176680e+03
2.857934435291673428e+33,1.227301000000000000e+06,2.228859444270078257e+03
2.692987122112316532e+33,1.219301000000000000e+06,2.219225839047948284e+03
2.532024555363161527e+33,1.211101000000000000e+06,2.207467341362318621e+03
2.376366493147098186e+33,1.203101000000000000e+06,2.193610984555211417e+03
2.226959790423609087e+33,1.195401000000000000e+06,2.177449407499201698e+03
2.084414333945609568e+33,1.188101000000000000e+06,2.159016887805451915e+03
1.949029502639645869e+33,1.181201000000000000e+06,2.138387286759611015e+03
1.820821918966000752e+33,1.174801000000000000e+06,2.115341635389399016e+03
1.699603311791283580e+33,1.169101000000000000e+06,2.090215987912817127e+03
1.585077181290618301e+33,1.164001000000000000e+06,2.062719642445593763e+03
1.476952906572735705e+33,1.159601000000000000e+06,2.032768079017244190e+03
1.375040816455602168e+33,1.156201000000000000e+06,2.000438443994999261e+03
1.279316511118138904e+33,1.153801000000000000e+06,1.965345002894471463e+03
1.189904946425895578e+33,1.152701000000000000e+06,1.927732182643048418e+03
1.107037085066361987e+33,1.153101000000000000e+06,1.887507475928893200e+03
1.030968061145928076e+33,1.155101000000000000e+06,1.845109441184667730e+03
9.619063552966612145e+32,1.158901000000000000e+06,1.800887330795007529e+03
8.999561719386242102e+32,1.164501000000000000e+06,1.755565216061368801e+03
8.450907229055510628e+32,1.172001000000000000e+06,1.709806362246829394e+03
7.971343126165399637e+32,1.181201000000000000e+06,1.664672172480069321e+03
7.557601621445649209e+32,1.191801000000000000e+06,1.620977865732741748e+03
7.204987321233757311e+32,1.203401000000000000e+06,1.579471148364320698e+03
6.907430924540140306e+32,1.215601000000000000e+06,1.540949485166224804e+03
6.657614356545617488e+32,1.228001000000000000e+06,1.505744349325460007e+03
6.447057852221338563e+32,1.240001000000000000e+06,1.474058137084007058e+03
6.266285544385778301e+32,1.251501000000000000e+06,1.445723444226732681e+03
6.104905345128790713e+32,1.262201000000000000e+06,1.420335701044726875e+03
5.951696628281765058e+32,1.272001000000000000e+06,1.397155323082766699e+03
5.794772186930295428e+32,1.281201000000000000e+06,1.375222355754731097e+03
