mass,radius,fmode
4.297687869195193199e+33,1.221401000000000000e+06,2.372722146575852548e+03
4.296694425896159849e+33,1.233201000000000000e+06,2.348339683734995560e+03
4.290611533103398059e+33,1.244101000000000000e+06,2.325823839383449922e+03
4.276377530047155839e+33,1.254301000000000000e+06,2.304861853340084963e+03
4.250913150993320637e+33,1.263801000000000000e+06,2.284831126376190696e+03
4.213643659252187718e+33,1.272801000000000000e+06,2.265309763652766378e+03
4.166704155978129494e+33,1.281201000000000000e+06,2.246289778106662197e+03
4.112227067928421518e+33,1.288901000000000000e+06,2.227987585706863229e+03
4.050774258996354428e+33,1.295901000000000000e+06,2.210495376929621216e+03
3.981664926872245418e+33,1.301901000000000000e+06,2.193854772942422187e+03
3.903847648098180560e+33,1.306901000000000000e+06,2.177970781437825735e+03
3.816540083149284396e+33,1.310901000000000000e+06,2.162683002179157029e+03
3.719422669938358648e+33,1.313901000000000000e+06,2.147871248589657171e+03
3.612747115666841360e+33,1.315801000000000000e+06,2.133282437948622828e+03
3.497725661862808284e+33,1.316701000000000000e+06,2.118667736966111534e+03
3.376398153445644892e+33,1.316801000000000000e+06,2.103801618991797113e+03
3.250752290624804683e+33,1.316001000000000000e+06,2.088614470368523598e+03
3.122041680853723120e+33,1.314601000000000000e+06,2.073004604956839557e+03
2.990965892944483441e+33,1.312601000000000000e+06,2.056838753603736222e+03
2.858469827569887122e+33,1.309901000000000000e+06,2.039950462714787591e+03
2.726139668402685582e+33,1.306901000000000000e+06,2.022282358359506134e+03
2.595646375859495823e+33,1.303601000000000000e+06,2.003807919501957713e+03
2.468124696653745512e+33,1.300101000000000000e+06,1.984568416926957298e+03
2.344218220292777794e+33,1.296501000000000000e+06,1.964631322092431674e+03
2.224677780222798023e+33,1.292901000000000000e+06,1.944036980940707735e+03
2.110526774740474400e+33,1.289301000000000000e+06,1.923062718797196339e+03
2.002415825676502138e+33,1.285801000000000000e+06,1.901918071660321630e+03
1.899715673508128005e+33,1.282201000000000000e+06,1.880938118053814833e+03
1.800102697561218173e+33,1.278401000000000000e+06,1.860038056859576500e+03
1.700596561584031549e+33,1.274101000000000000e+06,1.838644739476156246e+03
1.600868711712640013e+33,1.269501000000000000e+06,1.816339918365573794e+03
1.504312732599283670e+33,1.265001000000000000e+06,1.793213070443020115e+03
1.414282765730250789e+33,1.261101000000000000e+06,1.769738300399671743e+03
1.331639446157676596e+33,1.257701000000000000e+06,1.746591233405760249e+03
1.254530760531338692e+33,1.254401000000000000e+06,1.723908164412371889e+03
1.178831814177005630e+33,1.251101000000000000e+06,1.700964577478881665e+03
1.101674546401015146e+33,1.247501000000000000e+06,1.676706099379235184e+03
1.025433823679982895e+33,1.244401000000000000e+06,1.650538912157426694e+03
9.540443872854431016e+32,1.242401000000000000e+06,1.623305799319172138e+03
8.890608884903171768e+32,1.241701000000000000e+06,1.595471687864915339e+03
8.299212515015851640e+32,1.242101000000000000e+06,1.567387247346160848e+03
7.751435363790948263e+32,1.243701000000000000e+06,1.538792062278115964e+03
7.238724176435463508e+32,1.246601000000000000e+06,1.509269603960423638e+03
6.765045020249972999e+32,1.250801000000000000e+06,1.479075501487595375e+03
6.335234394723567166e+32,1.256301000000000000e+06,1.448602123839983506e+03
5.946194731843700507e+32,1.263101000000000000e+06,1.418129870349726389e+03
