mass,radius,fmode
4.118211939188520154e+33,1.118201000000000000e+06,2.587372715973674985e+03
4.115502170182249527e+33,1.128101000000000000e+06,2.564341752801521125e+03
4.103211778029416836e+33,1.137701000000000000e+06,2.542159366104874152e+03
4.081193865852952084e+33,1.147001000000000000e+06,2.520525489410523733e+03
4.050400509496928349e+33,1.156001000000000000e+06,2.499287928414171802e+03
4.012584959458073019e+33,1.164701000000000000e+06,2.478298899896470630e+03
3.969695484990277939e+33,1.173001000000000000e+06,2.457592512276711659e+03
3.923402580226149603e+33,1.181001000000000000e+06,2.437279102837070695e+03
3.874838075633706218e+33,1.188501000000000000e+06,2.417619337958545202e+03
3.824480802190788373e+33,1.195401000000000000e+06,2.398777240959193023e+03
3.772029996941658577e+33,1.201601000000000000e+06,2.381180385824107816e+03
3.716140473276634838e+33,1.206801000000000000e+06,2.365098164276381340e+03
3.654138071893819854e+33,1.210901000000000000e+06,2.350701216533506795e+03
3.581900108304946737e+33,1.213601000000000000e+06,2.338235186321816855e+03
3.494697275895020622e+33,1.214601000000000000e+06,2.327471615324242521e+03
3.389329547700250527e+33,1.213801000000000000e+06,2.318113958873930642e+03
3.266569898930360269e+33,1.211301000000000000e+06,2.309618104733292057e+03
3.130899653754838365e+33,1.207401000000000000e+06,2.301211571767707483e+03
2.987970226957523293e+33,1.202401000000000000e+06,2.292360980901228231e+03
2.842471133861510712e+33,1.196701000000000000e+06,2.282575562277923837e+03
2.697603044871770244e+33,1.190701000000000000e+06,2.271669400934420082e+03
2.555369607367073786e+33,1.184301000000000000e+06,2.259610598725954787e+03
2.416856286649944674e+33,1.177801000000000000e+06,2.246491832086513114e+03
2.282455734616496180e+33,1.171101000000000000e+06,2.232324656185665845e+03
2.152000185214597359e+33,1.164301000000000000e+06,2.217150400758919204e+03
2.024945060634602756e+33,1.157201000000000000e+06,2.200953683340752832e+03
1.900690791776475355e+33,1.150001000000000000e+06,2.183833987374699518e+03
1.778957501885488805e+33,1.142601000000000000e+06,2.165048309936362330e+03
1.660077209024126053e+33,1.135201000000000000e+06,2.144672576919105722e+03
1.545024068493082754e+33,1.128001000000000000e+06,2.122226358745229845e+03
1.435122854446091366e+33,1.121401000000000000e+06,2.097579891411489371e+03
1.331645288905576685e+33,1.115601000000000000e+06,2.070551813864052747e+03
1.235517750165124442e+33,1.110801000000000000e+06,2.041312900472698857e+03
1.147200892587661719e+33,1.107301000000000000e+06,2.010123511719405315e+03
1.066728336351514580e+33,1.105001000000000000e+06,1.977355376997383019e+03
9.937508596595361461e+32,1.104001000000000000e+06,1.943373847059196805e+03
9.276055883398086144e+32,1.104201000000000000e+06,1.908573239933437208e+03
8.673862685506048388e+32,1.105501000000000000e+06,1.873217724436814478e+03
8.120562371743991972e+32,1.107801000000000000e+06,1.837265543573880223e+03
7.606341205769522977e+32,1.111101000000000000e+06,1.800635201326595052e+03
7.123838128465328964e+32,1.115401000000000000e+06,1.762784299052576898e+03
6.669467834609541445e+32,1.121001000000000000e+06,1.723654361843994366e+03
6.243308460227668709e+32,1.128101000000000000e+06,1.682908793144359834e+03
5.847494783680173787e+32,1.136801000000000000e+06,1.640777854789026151e+03
5.484490074822587321e+32,1.147101000000000000e+06,1.597396837304499513e+03
5.155540709877513769e+32,1.159201000000000000e+06,1.553183981261136978e+03
4.860116868644254447e+32,1.172901000000000000e+06,1.508478234606958949e+03
4.595870129210306964e+32,1.187901000000000000e+06,1.463560114574518821e+03
4.358891332866148319e+32,1.204101000000000000e+06,1.418364026846445768e+03
