mass,radius,fmode
4.271938410956123283e+33,1.000901000000000000e+06,2.843498988940815252e+03
4.270925522962833975e+33,1.009101000000000000e+06,2.826246025497912797e+03
4.262908367651339856e+33,1.017001000000000000e+06,2.810557029596341181e+03
4.247201288229304472e+33,1.024501000000000000e+06,2.796318660851814002e+03
4.223214961303555695e+33,1.031701000000000000e+06,2.783524086722079574e+03
4.190514433231748231e+33,1.038401000000000000e+06,2.771933115156978147e+03
4.148879413309874160e+33,1.044701000000000000e+06,2.761353536764682303e+03
4.098314594265570326e+33,1.050501000000000000e+06,2.751477181738321633e+03
4.039075672269618204e+33,1.055901000000000000e+06,2.741971880861284717e+03
3.971625419389995927e+33,1.060901000000000000e+06,2.732507053288893530e+03
3.896601174678367299e+33,1.065401000000000000e+06,2.722704625436534116e+03
3.814776480953250644e+33,1.069701000000000000e+06,2.712231648971667710e+03
3.727027828494977147e+33,1.073601000000000000e+06,2.700778430199501145e+03
3.634325725606958105e+33,1.077301000000000000e+06,2.688024149226619102e+03
3.537712843837235209e+33,1.080701000000000000e+06,2.673744662671548213e+03
3.438316981451132193e+33,1.084001000000000000e+06,2.657778319809057848e+03
3.337302980264517820e+33,1.087201000000000000e+06,2.639967808693194456e+03
3.235873253472424502e+33,1.090401000000000000e+06,2.620283400805408291e+03
3.135208553350996211e+33,1.093601000000000000e+06,2.599026427445052832e+03
3.036380952102394616e+33,1.096701000000000000e+06,2.576101582754424271e+03
2.940321552936941173e+33,1.099901000000000000e+06,2.552052823801583145e+03
2.847686384873172790e+33,1.103101000000000000e+06,2.527025730696553182e+03
2.758778846373281050e+33,1.106201000000000000e+06,2.501724188219061944e+03
2.673461872006180972e+33,1.109101000000000000e+06,2.476193264324621396e+03
2.591118407205242125e+33,1.111701000000000000e+06,2.451297426960944904e+03
2.510686586533243882e+33,1.113901000000000000e+06,2.426923200776157955e+03
2.430777378226363376e+33,1.115601000000000000e+06,2.403392750659256308e+03
2.349864909133178005e+33,1.116601000000000000e+06,2.380553559548805424e+03
2.266536366916717200e+33,1.116801000000000000e+06,2.358213464969286633e+03
2.179709829929345064e+33,1.116101000000000000e+06,2.336411423003707114e+03
2.088838999936976841e+33,1.114601000000000000e+06,2.314722765581979729e+03
1.993971470814599440e+33,1.112101000000000000e+06,2.292748206562444921e+03
1.895733341839265317e+33,1.108901000000000000e+06,2.270350858685903859e+03
1.795206926659515943e+33,1.105001000000000000e+06,2.246986803715967653e+03
1.693758203247667742e+33,1.100701000000000000e+06,2.222421535213174593e+03
1.592900748731122260e+33,1.096101000000000000e+06,2.196326980621732673e+03
1.494113641832744089e+33,1.091601000000000000e+06,2.168411660059480255e+03
1.398768301944550672e+33,1.087401000000000000e+06,2.138667901913320293e+03
1.308021409798288115e+33,1.083701000000000000e+06,2.107053458003311789e+03
1.222762652026421685e+33,1.080801000000000000e+06,2.073622353980686512e+03
1.143589686543516673e+33,1.078701000000000000e+06,2.038902711506578044e+03
1.070804844834886858e+33,1.077501000000000000e+06,2.002949195797167931e+03
1.004445024759365739e+33,1.077401000000000000e+06,1.966506469945879189e+03
9.442873199794583668e+32,1.078101000000000000e+06,1.929716853168451280e+03
8.898947929256377320e+32,1.079801000000000000e+06,1.893475191309212960e+03
8.406463344722301902e+32,1.082101000000000000e+06,1.857808012612751781e+03
7.957704192540498761e+32,1.084901000000000000e+06,1.823023863272354902e+03
7.544132300436510809e+32,1.088201000000000000e+06,1.789237210034613099e+03
7.156983156979671113e+32,1.091801000000000000e+06,1.756170811099325192e+03
6.788402709379078457e+32,1.095701000000000000e+06,1.723571819767617626e+03
6.432344210187202483e+32,1.099901000000000000e+06,1.690992773001402838e+03
6.085536463174034732e+32,1.104501000000000000e+06,1.658366238281874530e+03
5.747689018122253082e+32,1.109801000000000000e+06,1.624834621743081016e+03
5.420948750988872334e+32,1.115801000000000000e+06,1.590785148346003098e+03
5.108734215955161629e+32,1.122701000000000000e+06,1.555885100873997999e+03
4.814384804321792422e+32,1.130701000000000000e+06,1.520429822551444204e+03
4.540130044096096505e+32,1.139901000000000000e+06,1.484581921719691081e+03
