mass,radius,fmode
4.465060135827670507e+33,1.123201000000000000e+06,2.594664969264651063e+03
4.463001733374804445e+33,1.130501000000000000e+06,2.580510596597165204e+03
4.453120500413779956e+33,1.137401000000000000e+06,2.568084874515629053e+03
4.434096794786971908e+33,1.143601000000000000e+06,2.557420691872735915e+03
4.404749529915642267e+33,1.149201000000000000e+06,2.548539647377410347e+03
4.364240958614190351e+33,1.154101000000000000e+06,2.541385708107353366e+03
4.312215972385719197e+33,1.158301000000000000e+06,2.535803099439021025e+03
4.248867495579458903e+33,1.161801000000000000e+06,2.531562064000122518e+03
4.174850689173539448e+33,1.164601000000000000e+06,2.528364142425313730e+03
4.091120514964755669e+33,1.166801000000000000e+06,2.525828843238902664e+03
3.998759648301446550e+33,1.168301000000000000e+06,2.523700300178613816e+03
3.898884234565907526e+33,1.169301000000000000e+06,2.521508359877705061e+03
3.792558262216598057e+33,1.169801000000000000e+06,2.519065586208950208e+03
3.680802372672206519e+33,1.169901000000000000e+06,2.516023429639545157e+03
3.564586878218952014e+33,1.169601000000000000e+06,2.512050009151753784e+03
3.444829568263704991e+33,1.169001000000000000e+06,2.507020655224132952e+03
3.322427485759311732e+33,1.168101000000000000e+06,2.500629290113454772e+03
3.198232025163176090e+33,1.167101000000000000e+06,2.492666401368051993e+03
3.073062511279801374e+33,1.166001000000000000e+06,2.482862083866392368e+03
2.947684311172856557e+33,1.164801000000000000e+06,2.470967931472659984e+03
2.822809107790280544e+33,1.163701000000000000e+06,2.456686560380795981e+03
2.699073471750859822e+33,1.162701000000000000e+06,2.439954423111934830e+03
2.577037406262101560e+33,1.161901000000000000e+06,2.420520454219561998e+03
2.457191438401138239e+33,1.161301000000000000e+06,2.397984631005354458e+03
2.339966947485322515e+33,1.161101000000000000e+06,2.372373408522512364e+03
2.225754479306950195e+33,1.161401000000000000e+06,2.343212084067972683e+03
2.114933237485312874e+33,1.162301000000000000e+06,2.310535338613714430e+03
2.007893512492585524e+33,1.163801000000000000e+06,2.273915022909355230e+03
1.905057154129909181e+33,1.166201000000000000e+06,2.233429657304506236e+03
1.806858810360065022e+33,1.169501000000000000e+06,2.188904485002870842e+03
1.713742657497837812e+33,1.174001000000000000e+06,2.140743388637816679e+03
1.626124345539105132e+33,1.179601000000000000e+06,2.089216355824174116e+03
1.544375485851367792e+33,1.186601000000000000e+06,2.034799140252948064e+03
1.468772125866596385e+33,1.195101000000000000e+06,1.978185610946472707e+03
1.399504503683008655e+33,1.204901000000000000e+06,1.920271987621405515e+03
1.336641789353518328e+33,1.216201000000000000e+06,1.861837988714624998e+03
1.280132033964789372e+33,1.228901000000000000e+06,1.803865613919770340e+03
1.229803314794056238e+33,1.242901000000000000e+06,1.747180022288489681e+03
1.185360226190962927e+33,1.257901000000000000e+06,1.692380001904991332e+03
1.146408836608970900e+33,1.273901000000000000e+06,1.640022863608549869e+03
1.112470931536784416e+33,1.290601000000000000e+06,1.590403485210801364e+03
1.083021659388741632e+33,1.307901000000000000e+06,1.543671209354823304e+03
1.057526699922935941e+33,1.325701000000000000e+06,1.499736384315424402e+03
1.035495238283780592e+33,1.343901000000000000e+06,1.458554731226630565e+03
1.016517123040913113e+33,1.362301000000000000e+06,1.419832477591621000e+03
1.000294966461374791e+33,1.381101000000000000e+06,1.383452741776734001e+03
9.866593051216270599e+32,1.400101000000000000e+06,1.349247060409364167e+03
9.755419319792286894e+32,1.419401000000000000e+06,1.317166461001821745e+03
9.669424731920701265e+32,1.438701000000000000e+06,1.287260654744412477e+03
9.608753464519577939e+32,1.458001000000000000e+06,1.259626670348592597e+03
9.573069527227341101e+32,1.477001000000000000e+06,1.234343130723858394e+03
9.561253343460586652e+32,1.495501000000000000e+06,1.211499911119880380e+03
9.571233349008040813e+32,1.513201000000000000e+06,2.631321734208379439e+03
9.599990058933366371e+32,1.530101000000000000e+06,2.582748945913944681e+03
9.643843610084656371e+32,1.545801000000000000e+06,2.543505700589990738e+03
9.698611184891341422e+32,1.560401000000000000e+06,2.511113339647145040e+03
9.759941195996516216e+32,1.573801000000000000e+06,2.484309029243411715e+03
9.823412014838089081e+32,1.586001000000000000e+06,2.462249370633069702e+03
9.884650141813102873e+32,1.597001000000000000e+06,2.443687294272478994e+03
9.939091460629065073e+32,1.606901000000000000e+06,2.427319882614963262e+03
9.981627111401663498e+32,1.615901000000000000e+06,2.410861327304573024e+03
1.000581406091951044e+33,1.623901000000000000e+06,2.393176620846595142e+03
1.000283991422594169e+33,1.630901000000000000e+06,2.372951751008885367e+03
9.960570440936392833e+32,1.636701000000000000e+06,2.347562484135421528e+03
9.863522501786498707e+32,1.641001000000000000e+06,2.314793621760399674e+03
9.694762768191981981e+32,1.643201000000000000e+06,2.272178786108413988e+03
9.440714880085855026e+32,1.642901000000000000e+06,2.218129648860885936e+03
9.096951326787735380e+32,1.639701000000000000e+06,2.151667704044175935e+03
8.671797427982629480e+32,1.633801000000000000e+06,2.073009954434010524e+03
8.184295157931371412e+32,1.625601000000000000e+06,1.984683982631880554e+03
