mass,radius,fmode
4.524715746509283019e+33,1.051101000000000000e+06,2.691015867138537033e+03
4.520329215075954601e+33,1.060101000000000000e+06,2.674602939755519401e+03
4.510493992505312969e+33,1.068901000000000000e+06,2.658853165810596238e+03
4.495430614912027684e+33,1.077501000000000000e+06,2.643666787950611251e+03
4.475285363602214761e+33,1.086001000000000000e+06,2.628925427817775471e+03
4.450227488215967227e+33,1.094201000000000000e+06,2.614567387502524070e+03
4.420495677850421930e+33,1.102101000000000000e+06,2.600479278818139392e+03
4.386387954946842537e+33,1.109801000000000000e+06,2.586667291598978863e+03
4.348239050432339510e+33,1.117201000000000000e+06,2.573086870897183417e+03
4.306386149495618290e+33,1.124101000000000000e+06,2.559815168732307029e+03
4.261077415825359342e+33,1.130701000000000000e+06,2.546919740928832198e+03
4.212367900645835873e+33,1.136701000000000000e+06,2.534530217047180486e+03
4.159948121138131346e+33,1.142101000000000000e+06,2.522940078885299044e+03
4.102961503298722637e+33,1.146701000000000000e+06,2.512406977944742266e+03
4.039856855847407704e+33,1.150401000000000000e+06,2.503228341773858119e+03
3.968400373905555386e+33,1.153001000000000000e+06,2.495740472122162373e+03
3.885916420352357469e+33,1.154301000000000000e+06,2.490071497917988836e+03
3.789870953098708811e+33,1.154001000000000000e+06,2.486445430590044452e+03
3.678649968670106117e+33,1.152201000000000000e+06,2.484693629098298061e+03
3.552198127071597777e+33,1.148701000000000000e+06,2.484509872636512227e+03
3.412157298994384994e+33,1.143601000000000000e+06,2.485359555862352408e+03
3.261352679764454427e+33,1.137201000000000000e+06,2.486706941103414465e+03
3.103057981191282345e+33,1.129701000000000000e+06,2.487769136195798637e+03
2.940399325452435627e+33,1.121301000000000000e+06,2.487918659835243488e+03
2.776089970143038862e+33,1.112201000000000000e+06,2.486922090577130348e+03
2.612386403296951653e+33,1.102801000000000000e+06,2.483969478141303625e+03
2.451151345235649720e+33,1.093101000000000000e+06,2.479214485254548890e+03
2.293922969411200693e+33,1.083301000000000000e+06,2.472172765784980584e+03
2.141957436390911399e+33,1.073601000000000000e+06,2.462567123806526524e+03
1.996262584794770558e+33,1.064301000000000000e+06,2.450386895819328856e+03
1.857608251977232614e+33,1.055301000000000000e+06,2.435381683722489925e+03
1.726538693240459120e+33,1.046901000000000000e+06,2.417657551968855842e+03
1.603373785018729346e+33,1.039201000000000000e+06,2.397014278843712873e+03
1.488256283480950302e+33,1.032201000000000000e+06,2.373748643419599375e+03
1.381152548109660182e+33,1.026201000000000000e+06,2.347857451574304832e+03
1.281919862605291073e+33,1.021001000000000000e+06,2.319263459741677252e+03
1.190330977141006296e+33,1.016901000000000000e+06,2.288578075729441935e+03
1.106093446693447106e+33,1.013901000000000000e+06,2.255169977076797295e+03
1.028872100882665280e+33,1.011901000000000000e+06,2.220265136679031457e+03
9.582722276934885196e+32,1.011101000000000000e+06,2.183483676860850665e+03
8.938322851081811657e+32,1.011401000000000000e+06,2.145300032743323300e+03
8.350082894768981719e+32,1.012701000000000000e+06,2.106081404413416294e+03
7.811781365442442659e+32,1.015001000000000000e+06,2.065908824120284407e+03
7.316478982212406461e+32,1.018301000000000000e+06,2.024905389547420327e+03
6.856841972591670909e+32,1.022601000000000000e+06,1.982811140689256717e+03
6.425707647229011923e+32,1.027801000000000000e+06,1.939478156410913243e+03
6.016912436233779131e+32,1.034201000000000000e+06,1.894286357671563565e+03
5.626250754679822009e+32,1.042101000000000000e+06,1.846420962338115487e+03
5.252217138051777698e+32,1.051701000000000000e+06,1.794993890178109723e+03
4.896208269841986791e+32,1.063701000000000000e+06,1.739443736939103246e+03
4.561777852931343585e+32,1.078401000000000000e+06,1.679276751674208299e+03
4.253279099169121494e+32,1.096301000000000000e+06,1.614026932008666790e+03
3.974560516078473165e+32,1.117601000000000000e+06,1.543638093611149088e+03
3.728029977886773925e+32,1.142301000000000000e+06,1.468176736575903760e+03
3.514368993822353695e+32,1.170101000000000000e+06,1.387840678252812722e+03
3.332697717130611971e+32,1.200401000000000000e+06,1.304145982119014207e+03
