mass,radius,fmode
4.869521808515887266e+33,1.151301000000000000e+06,2.477876606962045116e+03
4.865409095648653673e+33,1.160901000000000000e+06,2.462593666953434877e+03
4.855372579178418980e+33,1.170001000000000000e+06,2.448444575349777551e+03
4.838627427195660912e+33,1.178601000000000000e+06,2.435513441098838939e+03
4.814056709602008616e+33,1.186501000000000000e+06,2.424020408235987361e+03
4.780129087446323971e+33,1.193701000000000000e+06,2.414029253808451813e+03
4.735010082412637876e+33,1.200101000000000000e+06,2.405644517032081694e+03
4.676975616891901481e+33,1.205601000000000000e+06,2.398806739212573575e+03
4.605085278518660751e+33,1.210201000000000000e+06,2.393302733487236765e+03
4.519593387895239104e+33,1.214001000000000000e+06,2.388741748405206181e+03
4.421748349266696724e+33,1.217001000000000000e+06,2.384635458554994784e+03
4.313200621537190550e+33,1.219201000000000000e+06,2.380501294334161230e+03
4.195563615925374904e+33,1.220701000000000000e+06,2.375938479981807177e+03
4.070291735216458149e+33,1.221701000000000000e+06,2.370577669352270732e+03
3.938720858782172486e+33,1.222201000000000000e+06,2.364051933565624040e+03
3.802130122034340558e+33,1.222201000000000000e+06,2.356125901011912902e+03
3.661803648395033807e+33,1.221901000000000000e+06,2.346513108504033880e+03
3.519035828277886674e+33,1.221401000000000000e+06,2.334952380723008901e+03
3.375165685902392722e+33,1.220601000000000000e+06,2.321262907819812426e+03
3.231562109407433485e+33,1.219801000000000000e+06,2.305354565128552167e+03
3.089606674076054272e+33,1.219101000000000000e+06,2.287029583614739749e+03
2.950658471860347582e+33,1.218501000000000000e+06,2.266420623103051184e+03
2.815964877042033763e+33,1.218201000000000000e+06,2.243520862523832420e+03
2.686572782478297094e+33,1.218201000000000000e+06,2.218542607304620560e+03
2.563253090820211098e+33,1.218601000000000000e+06,2.191904064709867725e+03
2.446430582884013690e+33,1.219401000000000000e+06,2.163810028770048120e+03
2.336155503508344885e+33,1.220501000000000000e+06,2.134712560197958283e+03
2.232169799468058276e+33,1.222001000000000000e+06,2.104818425484186264e+03
2.134058454178518603e+33,1.223801000000000000e+06,2.074458752665393149e+03
2.041454559250276880e+33,1.225801000000000000e+06,2.043820668646115337e+03
1.954194241213711137e+33,1.228101000000000000e+06,2.013085951441308225e+03
1.872326940484637047e+33,1.230701000000000000e+06,1.982556582429282571e+03
1.796025907333358507e+33,1.233401000000000000e+06,1.952555292441384836e+03
1.725430480468885547e+33,1.236401000000000000e+06,1.923393598542671725e+03
1.660492918943962084e+33,1.239501000000000000e+06,1.895454028023627188e+03
1.600882238188077712e+33,1.242501000000000000e+06,1.869146260249174247e+03
1.545903496708369325e+33,1.245301000000000000e+06,1.844483435002051465e+03
1.494447514353911689e+33,1.247601000000000000e+06,1.821853013198782719e+03
1.444947186815555048e+33,1.249301000000000000e+06,1.801045642740297126e+03
1.395340460962930152e+33,1.250101000000000000e+06,1.781945252637287695e+03
1.343104397259872555e+33,1.249501000000000000e+06,1.764132158302266816e+03
1.285514693761517597e+33,1.247401000000000000e+06,1.746992222338405099e+03
1.220244084360645965e+33,1.243401000000000000e+06,1.729871987895901157e+03
1.146419570629982096e+33,1.237601000000000000e+06,1.711987501058616772e+03
1.065458386037449825e+33,1.230301000000000000e+06,1.692378721569025856e+03
9.808627839132056906e+32,1.222501000000000000e+06,1.670143135641369781e+03
8.968232843899559573e+32,1.215401000000000000e+06,1.644493186279767087e+03
8.167916864147669622e+32,1.210001000000000000e+06,1.615001930725093189e+03
7.428783956561649475e+32,1.207101000000000000e+06,1.581332412602204840e+03
6.760308672356543759e+32,1.207201000000000000e+06,1.543555522268054801e+03
6.164544097045005742e+32,1.210801000000000000e+06,1.501779711485746930e+03
5.639276005434685456e+32,1.218001000000000000e+06,1.456520196323355776e+03
5.180042185270153385e+32,1.228901000000000000e+06,1.408274121326414843e+03
