mass,radius,fmode
4.623262364953613441e+33,1.167001000000000000e+06,2.462603978306538920e+03
4.621876216108347483e+33,1.178301000000000000e+06,2.440973252259228957e+03
4.616436225053633026e+33,1.189201000000000000e+06,2.420227802777496890e+03
4.606215557718966687e+33,1.199701000000000000e+06,2.400471558876202380e+03
4.590243941162442708e+33,1.209601000000000000e+06,2.381812547547708618e+03
4.567389180601997010e+33,1.218901000000000000e+06,2.364260433185996135e+03
4.536437068741721552e+33,1.227601000000000000e+06,2.347819297088214171e+03
4.496302559564141923e+33,1.235601000000000000e+06,2.332394402115247431e+03
4.446230985397658281e+33,1.242901000000000000e+06,2.317902019999211007e+03
4.385943085133681424e+33,1.249401000000000000e+06,2.304165127021619810e+03
4.315681081143014510e+33,1.255201000000000000e+06,2.290990454746194246e+03
4.236131132171501892e+33,1.260201000000000000e+06,2.278229748635153101e+03
4.148291786163826574e+33,1.264601000000000000e+06,2.265657661753324192e+03
4.053334746775682426e+33,1.268201000000000000e+06,2.253123002434611863e+03
3.952490387801498650e+33,1.271101000000000000e+06,2.240540840497263616e+03
3.846964745003222225e+33,1.273401000000000000e+06,2.227788515737899615e+03
3.737872588936940821e+33,1.275101000000000000e+06,2.214865276523113607e+03
3.626197380459131490e+33,1.276101000000000000e+06,2.201781551574206787e+03
3.512708360420256925e+33,1.276601000000000000e+06,2.188591436633485046e+03
3.397942957897119143e+33,1.276401000000000000e+06,2.175400874362681407e+03
3.282140209438078976e+33,1.275501000000000000e+06,2.162280706180261859e+03
3.165209822755738398e+33,1.273901000000000000e+06,2.149411752732392415e+03
3.046734074364138377e+33,1.271401000000000000e+06,2.136792138003539549e+03
2.926015754188130793e+33,1.268001000000000000e+06,2.124516908035586312e+03
2.802239341430546290e+33,1.263601000000000000e+06,2.112544140103560039e+03
2.674688715648218277e+33,1.258001000000000000e+06,2.100739164587177129e+03
2.543045663895566384e+33,1.251301000000000000e+06,2.089035451964399726e+03
2.407635381248957952e+33,1.243401000000000000e+06,2.077045351763573308e+03
2.269512237935850176e+33,1.234601000000000000e+06,2.064512868920843175e+03
2.130311462650025330e+33,1.224901000000000000e+06,2.051042128697975386e+03
1.991949449256878043e+33,1.214601000000000000e+06,2.036277389632658469e+03
1.856286937820831790e+33,1.204201000000000000e+06,2.019857149304495806e+03
1.724890599369369303e+33,1.193701000000000000e+06,2.001524628612124161e+03
1.598938982670247521e+33,1.183501000000000000e+06,1.981007036777865096e+03
1.479214408979494482e+33,1.173901000000000000e+06,1.958113004647684875e+03
1.366174674534991743e+33,1.165001000000000000e+06,1.932566949741166127e+03
1.260051961463460944e+33,1.157101000000000000e+06,1.904213358733760288e+03
1.160979732598790715e+33,1.150401000000000000e+06,1.872932863260991098e+03
1.069095581865059848e+33,1.145201000000000000e+06,1.838502525536754092e+03
9.846065165280787011e+32,1.141701000000000000e+06,1.800982793017463337e+03
9.077818074183706947e+32,1.140301000000000000e+06,1.760626947910432591e+03
8.388725411457691264e+32,1.141101000000000000e+06,1.717879688277341984e+03
7.780242634112312222e+32,1.144401000000000000e+06,1.673530856344930953e+03
7.252048543650210610e+32,1.150201000000000000e+06,1.628621455771453839e+03
6.801959969946745977e+32,1.158101000000000000e+06,1.584278627172361439e+03
6.426008754660528278e+32,1.167901000000000000e+06,1.541546047454608015e+03
6.118848054548133852e+32,1.179001000000000000e+06,1.501712763496203024e+03
5.873808861499981623e+32,1.190901000000000000e+06,1.465503878836881768e+03
5.683028389161470707e+32,1.202801000000000000e+06,1.433599072433895572e+03
5.537376818191026693e+32,1.214201000000000000e+06,1.406240825709996898e+03
5.426438002936350193e+32,1.224501000000000000e+06,1.383272780911712289e+03
