mass,radius,fmode
4.247251344817401376e+33,1.180501000000000000e+06,2.460679401779360433e+03
4.243575950825955074e+33,1.192401000000000000e+06,2.435048763110193704e+03
4.234922957737331139e+33,1.203901000000000000e+06,2.410400217170564702e+03
4.220582613182317695e+33,1.214901000000000000e+06,2.386751344041920220e+03
4.199762115111654652e+33,1.225501000000000000e+06,2.363989274169131022e+03
4.171752066114642846e+33,1.235501000000000000e+06,2.342056528482807153e+03
4.136165698426652122e+33,1.245101000000000000e+06,2.320789558888951888e+03
4.093100480238296431e+33,1.254101000000000000e+06,2.300127044263220796e+03
4.042918779279310355e+33,1.262501000000000000e+06,2.280005577672535310e+03
3.986090899446318457e+33,1.270301000000000000e+06,2.260380503566343123e+03
3.923305844619791069e+33,1.277601000000000000e+06,2.241198184861650134e+03
3.855717015922706796e+33,1.284201000000000000e+06,2.222520148325064838e+03
3.784564324831846596e+33,1.290001000000000000e+06,2.204563530185579566e+03
3.710176788393882772e+33,1.295001000000000000e+06,2.187564881562033406e+03
3.630879673686794938e+33,1.298901000000000000e+06,2.171781261499584161e+03
3.542280686929699902e+33,1.301501000000000000e+06,2.157114346541360192e+03
3.438952133338801539e+33,1.302601000000000000e+06,2.143150653596992015e+03
3.319721520558512340e+33,1.302201000000000000e+06,2.129217462366062136e+03
3.189435123420384995e+33,1.300701000000000000e+06,2.114750745181198454e+03
3.054080029720977841e+33,1.298401000000000000e+06,2.099483298506638675e+03
2.917490539474402134e+33,1.295601000000000000e+06,2.083289181001346151e+03
2.781679354976349687e+33,1.292501000000000000e+06,2.066205061177568496e+03
2.647731197919440378e+33,1.289101000000000000e+06,2.048146288552141868e+03
2.516282492017682478e+33,1.285401000000000000e+06,2.029236533126793120e+03
2.387606188534482325e+33,1.281601000000000000e+06,2.009331298129340212e+03
2.261779348731646343e+33,1.277601000000000000e+06,1.988500944588921357e+03
2.138968234318906161e+33,1.273501000000000000e+06,1.966567012527047837e+03
2.019692009865968129e+33,1.269501000000000000e+06,1.943575815673459374e+03
1.904903243641003358e+33,1.265701000000000000e+06,1.919304797366992716e+03
1.795908846810082510e+33,1.262301000000000000e+06,1.894130096653037299e+03
1.694017766323735504e+33,1.259401000000000000e+06,1.868240471035326209e+03
1.599911507049923095e+33,1.257101000000000000e+06,1.842241714121213590e+03
1.513051819732679151e+33,1.255101000000000000e+06,1.816467374058401219e+03
1.431220314233213938e+33,1.253301000000000000e+06,1.791000757901039833e+03
1.350894510000874438e+33,1.251301000000000000e+06,1.765106836433321860e+03
1.270205676238739626e+33,1.249301000000000000e+06,1.738011802619071659e+03
1.191366893581930034e+33,1.247801000000000000e+06,1.709489537073027350e+03
1.117795991381885776e+33,1.247101000000000000e+06,1.680309788199911281e+03
1.051022108902149749e+33,1.247401000000000000e+06,1.651301605100215284e+03
9.906111827091467526e+32,1.248501000000000000e+06,1.622835584940599801e+03
9.348331573991500805e+32,1.250201000000000000e+06,1.594861109166269443e+03
8.817486149542707073e+32,1.252301000000000000e+06,1.566899356897399002e+03
8.307713124887868299e+32,1.255001000000000000e+06,1.538578003392927712e+03
7.826912209345467367e+32,1.258401000000000000e+06,1.510033655625769143e+03
7.381473848004782998e+32,1.262701000000000000e+06,1.481843547449925154e+03
6.967824651296828129e+32,1.267501000000000000e+06,1.454028938448173449e+03
6.574440178704049757e+32,1.273001000000000000e+06,1.426172018732723245e+03
6.191234754072913102e+32,1.279401000000000000e+06,1.397453222128858897e+03
