mass,radius,fmode
4.538352749186413032e+33,1.243501000000000000e+06,2.329188304096005595e+03
4.532089867489786212e+33,1.252501000000000000e+06,2.312021074900556869e+03
4.512186343299307325e+33,1.260401000000000000e+06,2.296904245807759253e+03
4.474720763335837726e+33,1.267101000000000000e+06,2.283802866342930884e+03
4.416431921841956953e+33,1.272501000000000000e+06,2.272567218009803128e+03
4.335921489617780798e+33,1.276501000000000000e+06,2.262866533851635268e+03
4.234339119762746341e+33,1.279201000000000000e+06,2.254070908400952703e+03
4.114970419627050185e+33,1.280801000000000000e+06,2.245458977282945852e+03
3.982077972701250259e+33,1.281401000000000000e+06,2.236221341007928004e+03
3.839882416754545051e+33,1.281301000000000000e+06,2.225743769091471677e+03
3.692065001921086422e+33,1.280901000000000000e+06,2.213430637944642058e+03
3.541703339213080086e+33,1.280301000000000000e+06,2.199025688189241009e+03
3.391386729206534997e+33,1.279701000000000000e+06,2.182197099643814454e+03
3.243348107612488243e+33,1.279301000000000000e+06,2.162934418528698643e+03
3.099563042117385211e+33,1.279201000000000000e+06,2.141273948986230607e+03
2.961787915852825795e+33,1.279601000000000000e+06,2.117350096708014462e+03
2.831548521799161285e+33,1.280601000000000000e+06,2.091511361430649231e+03
2.710108139914024708e+33,1.282301000000000000e+06,2.064247357659878617e+03
2.598430052689815643e+33,1.284601000000000000e+06,2.036122177088950821e+03
2.497051088577459172e+33,1.287501000000000000e+06,2.007752651689837194e+03
2.406045257527704479e+33,1.290901000000000000e+06,1.979886202840036958e+03
2.324865930799280828e+33,1.294501000000000000e+06,1.953129096612310832e+03
2.252274303342242764e+33,1.298101000000000000e+06,1.928002109611260721e+03
2.186319989414988244e+33,1.301501000000000000e+06,1.904780007065157179e+03
2.124414221740267634e+33,1.304301000000000000e+06,1.883521496501095498e+03
2.063553535659331103e+33,1.306201000000000000e+06,1.864066591470005505e+03
2.000652035429248975e+33,1.306901000000000000e+06,1.846091123131841869e+03
1.932956730220888463e+33,1.306301000000000000e+06,1.829360863063067200e+03
1.858508664451883060e+33,1.303901000000000000e+06,1.813502814367985820e+03
1.776493396885418090e+33,1.299801000000000000e+06,1.798284561194681601e+03
1.687350914896560765e+33,1.293801000000000000e+06,1.783526289758090343e+03
1.592505454821531353e+33,1.286401000000000000e+06,1.768921343338190354e+03
1.493923229388506252e+33,1.277601000000000000e+06,1.754233145080463373e+03
1.393685773727635379e+33,1.267801000000000000e+06,1.739140729177479670e+03
1.293682622856676270e+33,1.257601000000000000e+06,1.723429445435243224e+03
1.195524658190735865e+33,1.247201000000000000e+06,1.706722320564986603e+03
1.100534704629412272e+33,1.237101000000000000e+06,1.688703232959425577e+03
1.009806118377603076e+33,1.227701000000000000e+06,1.668935805747460563e+03
9.242334159415262092e+32,1.219501000000000000e+06,1.647301153930159671e+03
8.445251546708590472e+32,1.213001000000000000e+06,1.623363875899131472e+03
7.711789166291729656e+32,1.208501000000000000e+06,1.596944029033534207e+03
7.044702325324253648e+32,1.206401000000000000e+06,1.567898108451380722e+03
6.444434222357331869e+32,1.207001000000000000e+06,1.536274620201803373e+03
5.909438574148485525e+32,1.210401000000000000e+06,1.502049630021626626e+03
5.436557751986944529e+32,1.216801000000000000e+06,1.465307671455799209e+03
