mass,radius,fmode
4.401504815924891355e+33,1.154901000000000000e+06,2.506521445542924084e+03
4.400425934817682529e+33,1.166001000000000000e+06,2.483347092948249610e+03
4.394170484888192971e+33,1.176701000000000000e+06,2.461281099766880288e+03
4.382017610636903447e+33,1.187001000000000000e+06,2.440343703488649226e+03
4.363044835918299803e+33,1.196601000000000000e+06,2.420595761035365285e+03
4.336226733685539111e+33,1.205701000000000000e+06,2.401992435040121109e+03
4.300527566362138590e+33,1.214001000000000000e+06,2.384487882175653795e+03
4.255062902674326448e+33,1.221701000000000000e+06,2.367971183439616652e+03
4.199202705723391451e+33,1.228601000000000000e+06,2.352318881817591318e+03
4.132701779855638711e+33,1.234801000000000000e+06,2.337348513235306655e+03
4.055774513853860012e+33,1.240101000000000000e+06,2.322804399606854986e+03
3.969145632464026803e+33,1.244801000000000000e+06,2.308427275500885116e+03
3.874055201994506009e+33,1.248701000000000000e+06,2.293954408810066525e+03
3.772157519908610664e+33,1.252101000000000000e+06,2.279133430090202182e+03
3.665342401542653672e+33,1.255001000000000000e+06,2.263833963353590661e+03
3.555558776000190441e+33,1.257401000000000000e+06,2.247970128327498514e+03
3.444558026447402681e+33,1.259401000000000000e+06,2.231449657754669715e+03
3.333758450116118418e+33,1.261001000000000000e+06,2.214507639619740075e+03
3.224131897435791655e+33,1.262301000000000000e+06,2.197278117848686179e+03
3.116084861688268904e+33,1.263201000000000000e+06,2.180069585429928793e+03
3.009368466198905006e+33,1.263601000000000000e+06,2.163014563661889952e+03
2.903017437889197281e+33,1.263301000000000000e+06,2.146358101979513322e+03
2.795408653575329633e+33,1.262201000000000000e+06,2.130123625021289627e+03
2.684599169023504732e+33,1.260101000000000000e+06,2.114218976403086799e+03
2.568919212373052707e+33,1.256901000000000000e+06,2.098558987270974285e+03
2.447707001836052536e+33,1.252601000000000000e+06,2.082642582502341611e+03
2.321760429214471454e+33,1.247301000000000000e+06,2.066237414246511435e+03
2.193137673762149360e+33,1.241301000000000000e+06,2.048823651837172747e+03
2.064522792480595785e+33,1.234801000000000000e+06,2.030168374327393849e+03
1.938397212468566698e+33,1.228301000000000000e+06,2.010095212607305712e+03
1.816631432541120151e+33,1.221801000000000000e+06,1.988612262679335799e+03
1.700350774336901044e+33,1.215701000000000000e+06,1.965536399127570576e+03
1.590000973676193417e+33,1.210101000000000000e+06,1.941165567210672407e+03
1.485508971402135028e+33,1.205001000000000000e+06,1.915400769952975224e+03
1.386528600294559354e+33,1.200501000000000000e+06,1.888012219012761307e+03
1.292759179383789634e+33,1.196701000000000000e+06,1.859101632902666097e+03
1.204257794829028985e+33,1.193801000000000000e+06,1.828427402618455289e+03
1.121527622944870716e+33,1.192101000000000000e+06,1.795880995669480171e+03
1.045297403742042708e+33,1.191801000000000000e+06,1.761960182740195933e+03
9.761932989047199353e+32,1.193001000000000000e+06,1.726897260969672061e+03
9.144868552882128675e+32,1.195801000000000000e+06,1.691591283433286890e+03
8.600745646795627260e+32,1.199901000000000000e+06,1.656692828837659818e+03
8.124834273223302487e+32,1.205201000000000000e+06,1.622734566878340502e+03
7.709424164569315454e+32,1.211201000000000000e+06,1.590490033653099772e+03
7.344163498295239241e+32,1.217801000000000000e+06,1.560155714689407887e+03
7.016649503803435868e+32,1.224501000000000000e+06,1.531643146494178836e+03
6.713398004088343361e+32,1.231301000000000000e+06,1.504789934813789841e+03
6.421307757102966960e+32,1.237901000000000000e+06,1.478811395812377896e+03
6.129518743900346339e+32,1.244501000000000000e+06,1.453127438723342493e+03
5.830954878965872735e+32,1.251401000000000000e+06,1.426946321572241004e+03
