mass,radius,fmode
4.153903126303136560e+33,1.058801000000000000e+06,2.731578329250843581e+03
4.149628074694161188e+33,1.065401000000000000e+06,2.716694334197233275e+03
4.136940050171020260e+33,1.071401000000000000e+06,2.703644740505184473e+03
4.114391569861440381e+33,1.076701000000000000e+06,2.692483658654134160e+03
4.080968187900141446e+33,1.081501000000000000e+06,2.683163843476152124e+03
4.036321600283055733e+33,1.085501000000000000e+06,2.675447645032945275e+03
3.980831063811476913e+33,1.088801000000000000e+06,2.669188605603605993e+03
3.915448949524187242e+33,1.091401000000000000e+06,2.663989591468973231e+03
3.841437692910094163e+33,1.093501000000000000e+06,2.659420951172982768e+03
3.760136517166178301e+33,1.094901000000000000e+06,2.655198514305199751e+03
3.672830950621903973e+33,1.095901000000000000e+06,2.651130081065429749e+03
3.580695141706587318e+33,1.096401000000000000e+06,2.646793573020710937e+03
3.484768257024268749e+33,1.096501000000000000e+06,2.642146105315405293e+03
3.385984354442777378e+33,1.096201000000000000e+06,2.637108928429709977e+03
3.285170205686662790e+33,1.095601000000000000e+06,2.631349702456815976e+03
3.183044318015610948e+33,1.094701000000000000e+06,2.625202831882487772e+03
3.080216456973569642e+33,1.093401000000000000e+06,2.618270829101231811e+03
2.977171670814830929e+33,1.091901000000000000e+06,2.610890678464829307e+03
2.874260760586733686e+33,1.090201000000000000e+06,2.602798445685061324e+03
2.771713995776805929e+33,1.088101000000000000e+06,2.594392224920313311e+03
2.669659069472930307e+33,1.085701000000000000e+06,2.585525507305022984e+03
2.568152840320818905e+33,1.083101000000000000e+06,2.576230587402601486e+03
2.467181260202796784e+33,1.080101000000000000e+06,2.566612701561050017e+03
2.366655750686175428e+33,1.076701000000000000e+06,2.556771230723623830e+03
2.266368929494683440e+33,1.073001000000000000e+06,2.546706887926306536e+03
2.165979467339531386e+33,1.068801000000000000e+06,2.536164506555136541e+03
2.065025008488059702e+33,1.064201000000000000e+06,2.525465735474487701e+03
1.963037873703357925e+33,1.059101000000000000e+06,2.513899289592516197e+03
1.859735075138441927e+33,1.053601000000000000e+06,2.501458866950565607e+03
1.755239466759043044e+33,1.047701000000000000e+06,2.487733275645951835e+03
1.650211792958390624e+33,1.041601000000000000e+06,2.471733779547707854e+03
1.545783519691180285e+33,1.035501000000000000e+06,2.452760316696839254e+03
1.443312938625579897e+33,1.029801000000000000e+06,2.430270502917146587e+03
1.344097664616651288e+33,1.024601000000000000e+06,2.403474554761940453e+03
1.249193895518561562e+33,1.020301000000000000e+06,2.371738959785264342e+03
1.159348934683484632e+33,1.017201000000000000e+06,2.334535596349990101e+03
1.075034271901060137e+33,1.015501000000000000e+06,2.291282212336595876e+03
9.965048892022013506e+32,1.015501000000000000e+06,2.241623838344065462e+03
9.238586901115943146e+32,1.017401000000000000e+06,2.185818596671182604e+03
8.570898716182364644e+32,1.021401000000000000e+06,2.123902699101518010e+03
7.961320952510890943e+32,1.027801000000000000e+06,2.056164173066029434e+03
7.408929601058736467e+32,1.036801000000000000e+06,1.983602390864682775e+03
6.912799819306832516e+32,1.048801000000000000e+06,1.907529795227696695e+03
6.472129922300980896e+32,1.063701000000000000e+06,1.828844060216372327e+03
6.086171574309905173e+32,1.081801000000000000e+06,1.749583944107979505e+03
5.754043609139812979e+32,1.103001000000000000e+06,1.671198731731241878e+03
5.474484691361894590e+32,1.127001000000000000e+06,1.595416421792671599e+03
5.245621699752677878e+32,1.153301000000000000e+06,1.523725592410504532e+03
5.064859626122054084e+32,1.181301000000000000e+06,1.457316189603310477e+03
4.928776514798127917e+32,1.210301000000000000e+06,1.397293066081233064e+03
4.833079772150107175e+32,1.239101000000000000e+06,1.344183829147958249e+03
4.772740241078733585e+32,1.267101000000000000e+06,1.298156402733481173e+03
4.742117624115677637e+32,1.293301000000000000e+06,1.259064765833001957e+03
4.735310530398799630e+32,1.317301000000000000e+06,1.226437034277336807e+03
4.746391567203882333e+32,1.338701000000000000e+06,1.199594417450755145e+03
4.769836200395617181e+32,1.357501000000000000e+06,1.177722495963097572e+03
4.800763081584586883e+32,1.373701000000000000e+06,1.159933570853818765e+03
4.835157004459874699e+32,1.387801000000000000e+06,1.145358676224535429e+03
4.869826742836443969e+32,1.400101000000000000e+06,1.133183335284941222e+03
4.902328885336719367e+32,1.410901000000000000e+06,1.122673593035769272e+03
4.930662817114586421e+32,1.420901000000000000e+06,1.113162670433473977e+03
4.952947029461501755e+32,1.430301000000000000e+06,1.104034092934461796e+03
4.967087364756988184e+32,1.439601000000000000e+06,1.094767395018337083e+03
4.970731262032943429e+32,1.449001000000000000e+06,1.084908954683757884e+03
4.961555748653186437e+32,1.458901000000000000e+06,1.074154765299486144e+03
4.938060457307649574e+32,1.469301000000000000e+06,1.062430182674619346e+03
4.900184472606538943e+32,1.480001000000000000e+06,1.495849877711222689e+03
4.849366894419763510e+32,1.491001000000000000e+06,1.461752822432177027e+03
4.787849235743534657e+32,1.502001000000000000e+06,1.425847827061531234e+03
4.717654747380631587e+32,1.512801000000000000e+06,1.389048779335337940e+03
