mass,radius,fmode
4.287021814269899517e+33,1.065101000000000000e+06,2.702222826430800069e+03
4.281146346887599406e+33,1.074101000000000000e+06,2.683051159520930469e+03
4.267101064867055775e+33,1.082701000000000000e+06,2.665167759128260514e+03
4.244412492710393376e+33,1.090801000000000000e+06,2.648457443339727433e+03
4.212880069157638430e+33,1.098601000000000000e+06,2.632786930632009899e+03
4.172574954026012810e+33,1.105901000000000000e+06,2.617903565849690949e+03
4.123819613256251545e+33,1.112701000000000000e+06,2.603617747504833460e+03
4.067127642183780827e+33,1.119101000000000000e+06,2.589694114009415898e+03
4.003147746894292695e+33,1.125001000000000000e+06,2.575937201344545883e+03
3.932624526117370069e+33,1.130501000000000000e+06,2.562174856323448694e+03
3.856368710575966400e+33,1.135501000000000000e+06,2.548177875773461892e+03
3.775222836896287202e+33,1.140201000000000000e+06,2.533862333557835882e+03
3.690078518803117093e+33,1.144401000000000000e+06,2.519216182075197594e+03
3.601803073648126659e+33,1.148201000000000000e+06,2.504143840591881144e+03
3.511230063350776160e+33,1.151601000000000000e+06,2.488727024392693693e+03
3.419076682611038996e+33,1.154601000000000000e+06,2.472977633473123660e+03
3.325880724317734914e+33,1.157201000000000000e+06,2.457130807910145450e+03
3.231899816562236428e+33,1.159301000000000000e+06,2.441357827905444083e+03
3.137037375123276427e+33,1.160801000000000000e+06,2.425783088866155595e+03
3.040746014347507876e+33,1.161601000000000000e+06,2.410646795066485993e+03
2.942049219557949690e+33,1.161601000000000000e+06,2.395944038338147948e+03
2.839625448072297354e+33,1.160801000000000000e+06,2.381914921732065068e+03
2.732132885718350133e+33,1.158901000000000000e+06,2.368448186344863188e+03
2.618618652675655250e+33,1.155901000000000000e+06,2.355258766873325385e+03
2.498959645306597923e+33,1.151801000000000000e+06,2.342089751936050106e+03
2.374071901343015620e+33,1.146801000000000000e+06,2.328655399073653371e+03
2.245708756523641761e+33,1.140901000000000000e+06,2.314305857645539163e+03
2.116053862860983405e+33,1.134401000000000000e+06,2.298722746529546839e+03
1.987227055884574349e+33,1.127701000000000000e+06,2.281665062870775728e+03
1.861017034669001270e+33,1.120801000000000000e+06,2.262764557431875346e+03
1.738766347798516242e+33,1.114201000000000000e+06,2.241757666905496535e+03
1.621387316463774358e+33,1.107801000000000000e+06,2.218523299282626795e+03
1.509435467739180002e+33,1.102001000000000000e+06,2.192934824808549820e+03
1.403204867657342638e+33,1.096801000000000000e+06,2.164797025104262502e+03
1.302853153948955349e+33,1.092401000000000000e+06,2.133917497317859215e+03
1.208492098399582443e+33,1.089001000000000000e+06,2.099929453950990592e+03
1.120274340649220520e+33,1.086901000000000000e+06,2.063055993426553869e+03
1.038412967192937535e+33,1.086201000000000000e+06,2.023040232854658143e+03
9.631373254317747257e+32,1.087101000000000000e+06,1.980285802986253429e+03
8.946460578083523564e+32,1.089801000000000000e+06,1.934907462182111885e+03
8.330041860661687601e+32,1.094401000000000000e+06,1.887611999145632808e+03
7.781286089987827624e+32,1.100801000000000000e+06,1.839149397354170333e+03
7.297700059991244315e+32,1.109101000000000000e+06,1.790345839313569968e+03
6.875066225295947550e+32,1.118801000000000000e+06,1.742134124615397241e+03
6.507709776474279523e+32,1.129801000000000000e+06,1.695372009577896279e+03
6.188682535619994705e+32,1.141701000000000000e+06,1.650607612534412965e+03
5.910080768805329291e+32,1.154201000000000000e+06,1.608124872353523415e+03
5.663454090629470709e+32,1.167101000000000000e+06,1.567959215497070318e+03
5.440441176717625535e+32,1.180201000000000000e+06,1.529709768537612490e+03
5.233489735533886084e+32,1.193501000000000000e+06,1.492949414770113208e+03
5.036518816664659011e+32,1.207101000000000000e+06,1.457032069748771846e+03
4.845365001209485617e+32,1.221201000000000000e+06,1.421304220124334279e+03
4.657835967352192275e+32,1.235801000000000000e+06,1.385305036057903862e+03
