mass,radius,fmode
4.355471506230303670e+33,1.177101000000000000e+06,2.463898744224682105e+03
4.355171042005870145e+33,1.188001000000000000e+06,2.441131808969596477e+03
4.348690632067524848e+33,1.198401000000000000e+06,2.419566527657709230e+03
4.335494322505166645e+33,1.208301000000000000e+06,2.399303773867254677e+03
4.314815941793542153e+33,1.217501000000000000e+06,2.380381562891320300e+03
4.285661878515265998e+33,1.225901000000000000e+06,2.362853243087100964e+03
4.246918837600655372e+33,1.233401000000000000e+06,2.346693880737648669e+03
4.197489618869490056e+33,1.240001000000000000e+06,2.331880437200352389e+03
4.136500620015334633e+33,1.245601000000000000e+06,2.318342782525358416e+03
4.063425589875615799e+33,1.250101000000000000e+06,2.305947661521835926e+03
3.978179538774069454e+33,1.253501000000000000e+06,2.294525882361533604e+03
3.881081746356950531e+33,1.255801000000000000e+06,2.283890200316920073e+03
3.772763572625901530e+33,1.256901000000000000e+06,2.273827888929868095e+03
3.654087758163565610e+33,1.256801000000000000e+06,2.264008776885496900e+03
3.526097474932217062e+33,1.255701000000000000e+06,2.254174141721753131e+03
3.390019492998012210e+33,1.253601000000000000e+06,2.243969896137792603e+03
3.247276253165319342e+33,1.250601000000000000e+06,2.233065649597127504e+03
3.099494301787258616e+33,1.246801000000000000e+06,2.221010968170865453e+03
2.948472837115549390e+33,1.242501000000000000e+06,2.207491734883808931e+03
2.796131607794563804e+33,1.237701000000000000e+06,2.192181307031838969e+03
2.644407139216234072e+33,1.232801000000000000e+06,2.174626255046516690e+03
2.495173702484310432e+33,1.227901000000000000e+06,2.154587302396804262e+03
2.350171156113295603e+33,1.223301000000000000e+06,2.132012038970837239e+03
2.210944148397342735e+33,1.219201000000000000e+06,2.106802217154403479e+03
2.078821734961160701e+33,1.215801000000000000e+06,2.078915248050361697e+03
1.954892109959403483e+33,1.213301000000000000e+06,2.048683374268559874e+03
1.839996363909644733e+33,1.211801000000000000e+06,2.016472364729384253e+03
1.734724781741575283e+33,1.211501000000000000e+06,1.982733847966144822e+03
1.639393682043965319e+33,1.212201000000000000e+06,1.948109436602319192e+03
1.554064879554113892e+33,1.214101000000000000e+06,1.913227459016116427e+03
1.478518780189370451e+33,1.216901000000000000e+06,1.878942719118442938e+03
1.412249670874351604e+33,1.220501000000000000e+06,1.845971922495826220e+03
1.354453479802165721e+33,1.224601000000000000e+06,1.814823267314661052e+03
1.304004511194569003e+33,1.228901000000000000e+06,1.786009984742861661e+03
1.259442881861614865e+33,1.233101000000000000e+06,1.759751429309006198e+03
1.218964743090373001e+33,1.236901000000000000e+06,1.735986573859835289e+03
1.180420920130325798e+33,1.240101000000000000e+06,1.714456821704790627e+03
1.141370943493577133e+33,1.242201000000000000e+06,1.694558058996349018e+03
1.099266918507096945e+33,1.243201000000000000e+06,1.675605270320034151e+03
1.051892434354073641e+33,1.242701000000000000e+06,1.656943206396533469e+03
9.980927974882901003e+32,1.240901000000000000e+06,1.637878864596844551e+03
9.384008372484518922e+32,1.237901000000000000e+06,1.617730827648819513e+03
8.749756541797673681e+32,1.234401000000000000e+06,1.596196335247376965e+03
8.106918084683684183e+32,1.231101000000000000e+06,1.572792861661234838e+03
7.481457455691093234e+32,1.228801000000000000e+06,1.547438358344343897e+03
6.891232132726897907e+32,1.228201000000000000e+06,1.520002715493885034e+03
6.345880954970665981e+32,1.229501000000000000e+06,1.490505166304178374e+03
5.848836582969563741e+32,1.233201000000000000e+06,1.458876499620375398e+03
