mass,radius,fmode
4.552434202212870253e+33,1.207601000000000000e+06,2.380703287719189120e+03
4.551355810186291712e+33,1.217501000000000000e+06,2.361282334718411676e+03
4.540042981385079721e+33,1.226901000000000000e+06,2.343024247477722838e+03
4.518681194348412304e+33,1.235701000000000000e+06,2.325988274897017618e+03
4.487624698229128050e+33,1.243701000000000000e+06,2.310194524166936844e+03
4.447046107962272092e+33,1.250901000000000000e+06,2.295695755075204943e+03
4.396711412699956747e+33,1.257101000000000000e+06,2.282571218495568701e+03
4.335887150914577708e+33,1.262301000000000000e+06,2.270828261041100632e+03
4.263412595427656463e+33,1.266201000000000000e+06,2.260520846116082339e+03
4.177978669714305212e+33,1.268801000000000000e+06,2.251552322847861433e+03
4.078550242440580444e+33,1.270001000000000000e+06,2.243837432683988482e+03
3.964914679122313262e+33,1.269701000000000000e+06,2.237122776939023879e+03
3.837995807878180392e+33,1.268101000000000000e+06,2.231061775975863839e+03
3.699793210891555926e+33,1.265201000000000000e+06,2.225160889428554583e+03
3.553092329481547026e+33,1.261101000000000000e+06,2.219056928453151158e+03
3.400996107024929650e+33,1.256301000000000000e+06,2.212350619518254007e+03
3.246459974773891767e+33,1.250701000000000000e+06,2.204678894187029528e+03
3.092105127244766648e+33,1.244801000000000000e+06,2.195934329426929253e+03
2.940050719585748155e+33,1.238501000000000000e+06,2.186049126055157103e+03
2.791946803687411076e+33,1.232001000000000000e+06,2.175027535805450952e+03
2.648915214497413097e+33,1.225501000000000000e+06,2.163056841816035558e+03
2.511575741285579246e+33,1.218901000000000000e+06,2.150327108351828429e+03
2.379997489690107564e+33,1.212201000000000000e+06,2.136793950223588126e+03
2.253739448574283759e+33,1.205401000000000000e+06,2.123063113893510945e+03
2.131990041386085758e+33,1.198401000000000000e+06,2.109144954002584200e+03
2.013822878819102869e+33,1.191001000000000000e+06,2.095044951583485727e+03
1.898505066774799818e+33,1.183201000000000000e+06,2.080882384461188394e+03
1.785663500543049793e+33,1.175001000000000000e+06,2.066505105773365813e+03
1.675247266698960239e+33,1.166401000000000000e+06,2.052047422513297988e+03
1.567375810491473397e+33,1.157401000000000000e+06,2.037277170126130159e+03
1.462166371278788405e+33,1.148201000000000000e+06,2.021982716800706612e+03
1.359686763931036803e+33,1.138701000000000000e+06,2.006064350921929645e+03
1.260018288953474816e+33,1.129201000000000000e+06,1.989334839014863746e+03
1.163429733613874299e+33,1.119801000000000000e+06,1.971291163785783510e+03
1.070508942372829059e+33,1.110801000000000000e+06,1.951570837327474010e+03
9.821381809901177230e+32,1.102601000000000000e+06,1.929850513123235260e+03
8.992550670574154597e+32,1.095601000000000000e+06,1.905619310002107795e+03
8.226115758873796452e+32,1.090201000000000000e+06,1.878866301616766577e+03
7.525969097235549311e+32,1.086701000000000000e+06,1.849369105870231806e+03
6.892286278323300702e+32,1.085201000000000000e+06,1.817125091169826874e+03
6.322261445235232761e+32,1.085901000000000000e+06,1.782198849704704799e+03
5.810868150860669027e+32,1.089001000000000000e+06,1.744438971372334436e+03
5.351660826413739220e+32,1.094301000000000000e+06,1.703753450598057043e+03
4.937715395405650069e+32,1.102201000000000000e+06,1.659794061595709991e+03
4.562636154874562722e+32,1.112601000000000000e+06,1.611631115300213651e+03
4.221492933032889149e+32,1.126001000000000000e+06,1.558079818433552873e+03
3.911158101933437414e+32,1.142601000000000000e+06,1.497094431313562382e+03
