mass,radius,fmode
4.269447249095078763e+33,1.060701000000000000e+06,2.755768574408255517e+03
4.266572384868038305e+33,1.071401000000000000e+06,2.733889830253650871e+03
4.258248178273809300e+33,1.082101000000000000e+06,2.712414030090586039e+03
4.244448990476000283e+33,1.092701000000000000e+06,2.691227736467285467e+03
4.225224421869284849e+33,1.103301000000000000e+06,2.670234360224801549e+03
4.200742425588039614e+33,1.113901000000000000e+06,2.649222706974857829e+03
4.171234582699580097e+33,1.124401000000000000e+06,2.628133691951980836e+03
4.137016242606153228e+33,1.134901000000000000e+06,2.606858487356665137e+03
4.098431868301981487e+33,1.145201000000000000e+06,2.585401995710898973e+03
4.055818516979837204e+33,1.155401000000000000e+06,2.563690226039667778e+03
4.009483221539209495e+33,1.165401000000000000e+06,2.541752447679385568e+03
3.959606263977804595e+33,1.175101000000000000e+06,2.519740332490615856e+03
3.906178039276000793e+33,1.184501000000000000e+06,2.497692132489131836e+03
3.848905943126326442e+33,1.193601000000000000e+06,2.475736778490441793e+03
3.787131441393389307e+33,1.202201000000000000e+06,2.453935545367063696e+03
3.719838829718767160e+33,1.210301000000000000e+06,2.432248035214198808e+03
3.645793303331049484e+33,1.217901000000000000e+06,2.410469018600887011e+03
3.563906694200555312e+33,1.225101000000000000e+06,2.388315049570914653e+03
3.473734259216159931e+33,1.231801000000000000e+06,2.365227870173838255e+03
3.375866551215523041e+33,1.238401000000000000e+06,2.340683444254112146e+03
3.271902216905708100e+33,1.244801000000000000e+06,2.314475776837584817e+03
3.164121101844036013e+33,1.251201000000000000e+06,2.286015680201731811e+03
3.054952576149452667e+33,1.257801000000000000e+06,2.255398105209125788e+03
2.946598447438038349e+33,1.264801000000000000e+06,2.222647398935419005e+03
2.840874682034820827e+33,1.272001000000000000e+06,2.187966163545126165e+03
2.739150302489861995e+33,1.279701000000000000e+06,2.151792794719653102e+03
2.642329430303444684e+33,1.287701000000000000e+06,2.114549822718546693e+03
2.550868545257365591e+33,1.296001000000000000e+06,2.076831878397326363e+03
2.464777505818316286e+33,1.304501000000000000e+06,2.038986696328291373e+03
2.383648297120690623e+33,1.313101000000000000e+06,2.001471766969805458e+03
2.306722003366906983e+33,1.321601000000000000e+06,1.964497591518663057e+03
2.232965800063442195e+33,1.330001000000000000e+06,1.928149467358258789e+03
2.161206577039682698e+33,1.338301000000000000e+06,1.892299076997326210e+03
2.090261314627679445e+33,1.346201000000000000e+06,1.856802035877943581e+03
2.019079878279642783e+33,1.354001000000000000e+06,1.821294815622798069e+03
1.946885796774287407e+33,1.361701000000000000e+06,1.785234782304579312e+03
1.873328274036539254e+33,1.369401000000000000e+06,1.748356733885812218e+03
1.798592505796558775e+33,1.377201000000000000e+06,1.710311839144643727e+03
1.723474479127263728e+33,1.385601000000000000e+06,1.670920477755706770e+03
1.649284635576758750e+33,1.394601000000000000e+06,1.630175950048043205e+03
1.577649224837018214e+33,1.404601000000000000e+06,1.588464168167644402e+03
1.510232239659694427e+33,1.415701000000000000e+06,1.546345212170225295e+03
1.448441779213279969e+33,1.428001000000000000e+06,1.504552359999026976e+03
1.393265084796768131e+33,1.441401000000000000e+06,1.463901831892320160e+03
1.345192493934989223e+33,1.455601000000000000e+06,1.425165953415665399e+03
1.304239329518345435e+33,1.470401000000000000e+06,1.388984196797095592e+03
1.270005173916339281e+33,1.485401000000000000e+06,1.355828316271253698e+03
1.241748317351222612e+33,1.500201000000000000e+06,1.325921637115082831e+03
1.218478849353138238e+33,1.514301000000000000e+06,1.299294500205962322e+03
1.199031472229521510e+33,1.527601000000000000e+06,1.275756299448803475e+03
1.182126392750873048e+33,1.539701000000000000e+06,1.254948887417867127e+03
1.166409157139088269e+33,1.550801000000000000e+06,1.236383989583531047e+03
1.150465475743728499e+33,1.560601000000000000e+06,1.219549246483013349e+03
1.132804010784438140e+33,1.569101000000000000e+06,2.832317870893311010e+03
1.111871376646921868e+33,1.576301000000000000e+06,2.765973679363434258e+03
1.086130463524725927e+33,1.582201000000000000e+06,2.692302090699535711e+03
