mass,radius,fmode
4.584359739619361456e+33,1.180401000000000000e+06,2.447996369734750260e+03
4.578901351497318427e+33,1.189701000000000000e+06,2.430239368605167328e+03
4.561344941844075120e+33,1.198601000000000000e+06,2.413770474902108162e+03
4.532015490935898078e+33,1.207001000000000000e+06,2.398511188703818334e+03
4.491532703102941517e+33,1.214801000000000000e+06,2.384293965141268473e+03
4.440623329721673149e+33,1.221901000000000000e+06,2.370984896022713201e+03
4.380024465766097982e+33,1.228301000000000000e+06,2.358420165334908233e+03
4.310429873570798089e+33,1.234101000000000000e+06,2.346458195789183264e+03
4.232386633616950800e+33,1.239101000000000000e+06,2.335010619623658386e+03
4.146343853815422027e+33,1.243301000000000000e+06,2.323922052654058461e+03
4.052624316122625721e+33,1.246801000000000000e+06,2.313132496433019242e+03
3.951464150919565889e+33,1.249401000000000000e+06,2.302593136678638075e+03
3.843059907825249680e+33,1.251201000000000000e+06,2.292141270048478873e+03
3.727674897812756995e+33,1.252301000000000000e+06,2.281644968456109382e+03
3.605771959485707870e+33,1.252501000000000000e+06,2.270901144076869059e+03
3.478081096191677876e+33,1.251901000000000000e+06,2.259788233597645103e+03
3.345711820356945339e+33,1.250701000000000000e+06,2.248046959861417690e+03
3.210040063850198426e+33,1.248801000000000000e+06,2.235493413183021858e+03
3.072649517368419859e+33,1.246501000000000000e+06,2.221950961610451941e+03
2.935155626456612724e+33,1.243901000000000000e+06,2.207287141439224342e+03
2.799060696582825487e+33,1.241001000000000000e+06,2.191517695075037409e+03
2.665656265248355533e+33,1.237901000000000000e+06,2.174541400880025776e+03
2.535931042600124534e+33,1.234801000000000000e+06,2.156517086163032218e+03
2.410534503712589867e+33,1.231601000000000000e+06,2.137635687893457543e+03
2.289754127496221220e+33,1.228401000000000000e+06,2.117958400744958908e+03
2.173519471233239788e+33,1.225201000000000000e+06,2.097615176145102396e+03
2.061439905688149447e+33,1.221801000000000000e+06,2.076813084899218666e+03
1.952898695214171354e+33,1.218301000000000000e+06,2.055503701218242441e+03
1.847187704245525325e+33,1.214701000000000000e+06,2.033727966703733955e+03
1.743678903805977536e+33,1.210801000000000000e+06,2.011233761223116971e+03
1.641985443154182813e+33,1.206801000000000000e+06,1.987887032001471653e+03
1.542050611989174829e+33,1.202701000000000000e+06,1.963301806204140576e+03
1.444157761036950834e+33,1.198601000000000000e+06,1.937245630856402158e+03
1.348842873961958237e+33,1.194901000000000000e+06,1.909373145905815136e+03
1.256771388030954785e+33,1.191601000000000000e+06,1.879392331467642862e+03
1.168629229269641191e+33,1.189201000000000000e+06,1.846925914519304797e+03
1.085041150326157376e+33,1.188001000000000000e+06,1.811954207180534240e+03
1.006534162557304437e+33,1.188101000000000000e+06,1.774204316803295569e+03
9.335385278966955774e+32,1.190001000000000000e+06,1.733732639741453795e+03
8.663769782351108272e+32,1.193801000000000000e+06,1.690836459442797377e+03
8.052789730735348388e+32,1.199901000000000000e+06,1.645672443735391198e+03
7.503554650158357132e+32,1.208301000000000000e+06,1.598944411523196777e+03
7.015996110845460672e+32,1.219001000000000000e+06,1.551274378570513818e+03
6.588781387706726052e+32,1.231901000000000000e+06,1.503623479432702197e+03
6.219218408054920446e+32,1.246701000000000000e+06,1.456854717731774599e+03
5.903297913622406284e+32,1.263001000000000000e+06,1.411880293747337419e+03
5.635865462336818774e+32,1.280301000000000000e+06,1.369495297181117621e+03
5.410680936253604325e+32,1.297901000000000000e+06,1.330103750971392401e+03
5.220663829413571828e+32,1.315401000000000000e+06,1.294043361887423544e+03
