mass,radius,fmode
4.911488842833757613e+33,1.177101000000000000e+06,2.443100937661115495e+03
4.902708732000150819e+33,1.186901000000000000e+06,2.428586148748748656e+03
4.883977630774435102e+33,1.196501000000000000e+06,2.414983793556101773e+03
4.856324682699288195e+33,1.206001000000000000e+06,2.401985776072584031e+03
4.820895569593527295e+33,1.215301000000000000e+06,2.389322965603687862e+03
4.778581880357874513e+33,1.224501000000000000e+06,2.376803688491637331e+03
4.730055136893889434e+33,1.233401000000000000e+06,2.364234886922595706e+03
4.675939899861367664e+33,1.242101000000000000e+06,2.351513964385057079e+03
4.616915555284370111e+33,1.250601000000000000e+06,2.338497451429499051e+03
4.553755755091398687e+33,1.258901000000000000e+06,2.325158086512026330e+03
4.487324935102727637e+33,1.266901000000000000e+06,2.311479720487971917e+03
4.418540870421671633e+33,1.274701000000000000e+06,2.297493238992363786e+03
4.348296211921993741e+33,1.282101000000000000e+06,2.283337740194742310e+03
4.277327412756573343e+33,1.289101000000000000e+06,2.269269510858940976e+03
4.205953536876486753e+33,1.295501000000000000e+06,2.255624582285522138e+03
4.133450769255072175e+33,1.301101000000000000e+06,2.242842244308572845e+03
4.056882769280505142e+33,1.305601000000000000e+06,2.231442055338526188e+03
3.969881786950207327e+33,1.308601000000000000e+06,2.221714616178677261e+03
3.863971358651430808e+33,1.309901000000000000e+06,2.213685325500919134e+03
3.734251997526921780e+33,1.309301000000000000e+06,2.206700554841957910e+03
3.583593406809072286e+33,1.307101000000000000e+06,2.199789456695245917e+03
3.419401788988469804e+33,1.303901000000000000e+06,2.191877576766510629e+03
3.248701864657386948e+33,1.300201000000000000e+06,2.181892169742921396e+03
3.076615288426574362e+33,1.296401000000000000e+06,2.169412094215153502e+03
2.906738927456846570e+33,1.292801000000000000e+06,2.153814497829946959e+03
2.741667750801541145e+33,1.289701000000000000e+06,2.134955890582986740e+03
2.583336001419022168e+33,1.287401000000000000e+06,2.112638279250729283e+03
2.433195959215510083e+33,1.285901000000000000e+06,2.086949499915690467e+03
2.292303355047037292e+33,1.285501000000000000e+06,2.058131467463894296e+03
2.161276766636696677e+33,1.286101000000000000e+06,2.026378717228765936e+03
2.040225359934326360e+33,1.287801000000000000e+06,1.992164183488295976e+03
1.928847508946886229e+33,1.290601000000000000e+06,1.955905222101521531e+03
1.826846619222633891e+33,1.294501000000000000e+06,1.918080033080586873e+03
1.734244619881687801e+33,1.299201000000000000e+06,1.879438159074388750e+03
1.651062744183914499e+33,1.304701000000000000e+06,1.840907338762185873e+03
1.576742324345711879e+33,1.310601000000000000e+06,1.803250342238895882e+03
1.509586546930484209e+33,1.316601000000000000e+06,1.767091990378241235e+03
1.446251599243837510e+33,1.322401000000000000e+06,1.731963842385365524e+03
1.381968555463911509e+33,1.327901000000000000e+06,1.696029085232434454e+03
1.312952949173450394e+33,1.333501000000000000e+06,1.656967970524388193e+03
1.239182436039829809e+33,1.339901000000000000e+06,1.613212443667312982e+03
1.163710060333852926e+33,1.347801000000000000e+06,1.564618201126275380e+03
1.089810641556605432e+33,1.357901000000000000e+06,1.511657920250652296e+03
1.019730509089772509e+33,1.371001000000000000e+06,1.455083444019282069e+03
9.550460584487209033e+32,1.387701000000000000e+06,1.395763267743366214e+03
8.971897687075367553e+32,1.408401000000000000e+06,1.335017129458195768e+03
8.474552810677522648e+32,1.433101000000000000e+06,1.274791145479619217e+03
8.066456654692833919e+32,1.461501000000000000e+06,1.217165428900431380e+03
7.748808606631025893e+32,1.492501000000000000e+06,1.163924251379009547e+03
7.516945250921447034e+32,1.524801000000000000e+06,2.054305038488173977e+03
7.361746854267275045e+32,1.556901000000000000e+06,1.937716175906668013e+03
7.271139044935010346e+32,1.587401000000000000e+06,1.846761137752429249e+03
7.230905837331501713e+32,1.615201000000000000e+06,1.777597547648377940e+03
