mass,radius,fmode
4.075866596999322092e+33,1.163801000000000000e+06,2.477176406703859357e+03
4.069022241479574263e+33,1.171501000000000000e+06,2.459347354613561038e+03
4.051903973513182816e+33,1.179301000000000000e+06,2.441129576543110943e+03
4.028245303821030847e+33,1.186801000000000000e+06,2.423248072333038181e+03
4.000212219213221476e+33,1.193901000000000000e+06,2.406073442990826152e+03
3.968385836000909921e+33,1.200401000000000000e+06,2.389867041803687243e+03
3.932184084996901128e+33,1.206201000000000000e+06,2.374826322009459545e+03
3.890137310302104649e+33,1.211301000000000000e+06,2.360964680939128812e+03
3.840285159831022181e+33,1.215501000000000000e+06,2.348262110915798985e+03
3.780943829889930580e+33,1.218701000000000000e+06,2.336583914792222913e+03
3.711399088953070771e+33,1.221001000000000000e+06,2.325788675682978010e+03
3.632028120856085241e+33,1.222401000000000000e+06,2.315752866145724056e+03
3.543880841358055094e+33,1.222801000000000000e+06,2.306223276263040589e+03
3.448173793285932431e+33,1.222301000000000000e+06,2.297061719688246285e+03
3.346061083784183410e+33,1.221001000000000000e+06,2.288077072695295556e+03
3.238581041540986850e+33,1.218901000000000000e+06,2.279149414489981609e+03
3.126704016802310428e+33,1.216101000000000000e+06,2.270165831693398104e+03
3.011399089660136181e+33,1.212601000000000000e+06,2.260872338967613359e+03
2.893662511305650562e+33,1.208501000000000000e+06,2.251193418480122546e+03
2.774511831022849426e+33,1.203901000000000000e+06,2.240984742666326383e+03
2.654896607705730828e+33,1.198901000000000000e+06,2.230110803502166164e+03
2.535679870216686215e+33,1.193601000000000000e+06,2.218532365794507768e+03
2.417614823438485312e+33,1.188001000000000000e+06,2.206154207782400135e+03
2.301475981972080267e+33,1.182301000000000000e+06,2.192931947353868054e+03
2.188153090231779182e+33,1.176401000000000000e+06,2.178695197327398546e+03
2.078594719065507793e+33,1.170701000000000000e+06,2.163637712953328901e+03
1.973605269353974628e+33,1.165001000000000000e+06,2.147705155162559095e+03
1.873679763037744281e+33,1.159601000000000000e+06,2.131250080942894328e+03
1.778878823358030043e+33,1.154401000000000000e+06,2.114225662044410456e+03
1.688801892917058340e+33,1.149301000000000000e+06,2.096851474758926088e+03
1.602666736529291080e+33,1.144301000000000000e+06,2.079429810138836274e+03
1.519445986058024252e+33,1.139201000000000000e+06,2.061774051782319475e+03
1.438094895058167530e+33,1.134001000000000000e+06,2.043639006980328531e+03
1.357799564624239752e+33,1.128701000000000000e+06,2.024766488677441657e+03
1.278327049429967113e+33,1.123301000000000000e+06,2.005010977110131535e+03
1.200362540474205899e+33,1.118101000000000000e+06,1.983866333449293279e+03
1.125421012625433584e+33,1.113401000000000000e+06,1.961389068695283640e+03
1.055153331080243922e+33,1.109601000000000000e+06,1.937690263936616702e+03
9.906634526406703877e+32,1.106701000000000000e+06,1.913065987672662914e+03
9.323956950564547587e+32,1.104901000000000000e+06,1.888117636985539320e+03
8.803079079727620509e+32,1.104101000000000000e+06,1.863338610716668882e+03
8.340173110248940245e+32,1.104101000000000000e+06,1.839281938231520826e+03
7.928353356119557150e+32,1.104601000000000000e+06,1.816102679793422340e+03
7.556865222709116759e+32,1.105401000000000000e+06,1.794208872385294853e+03
7.210413491360262446e+32,1.106301000000000000e+06,1.773476927111481700e+03
6.869540000629613081e+32,1.107001000000000000e+06,1.753108215346027009e+03
6.514088452464641194e+32,1.107501000000000000e+06,1.732164402328447295e+03
6.130432032382662170e+32,1.107901000000000000e+06,1.709264976174579942e+03
5.719618780508093400e+32,1.108901000000000000e+06,1.682945898014638942e+03
5.297893556744895603e+32,1.111301000000000000e+06,1.652133105476141736e+03
4.886712626109964407e+32,1.116001000000000000e+06,1.616177277219210964e+03
4.502091788063868394e+32,1.123601000000000000e+06,1.574410932865675932e+03
4.151869935353747226e+32,1.134501000000000000e+06,1.525968531643250344e+03
3.837998519512579414e+32,1.148901000000000000e+06,1.469440855482292363e+03
3.559376350598709070e+32,1.167001000000000000e+06,1.402699439338003913e+03
3.313264901419210683e+32,1.188801000000000000e+06,1.323789767501696588e+03
3.096027725638468490e+32,1.214401000000000000e+06,1.233782914256231834e+03
2.903835155242329815e+32,1.243901000000000000e+06,1.137695910616265337e+03
2.733776500240713924e+32,1.277601000000000000e+06,1.041076031570706391e+03
2.584539795222031752e+32,1.315301000000000000e+06,9.487527865102312035e+02
2.455704544763150077e+32,1.356601000000000000e+06,8.637915359724125892e+02
2.346406925882317104e+32,1.400301000000000000e+06,7.881600922731610126e+02
2.254898097770468239e+32,1.445401000000000000e+06,7.224745419210238424e+02
2.178435130768449124e+32,1.490801000000000000e+06,6.658984018169708179e+02
