mass,radius,fmode
4.265555028076565106e+33,1.166601000000000000e+06,2.485022673043701616e+03
4.261012448165255740e+33,1.177101000000000000e+06,2.462416987436693489e+03
4.247179503456913172e+33,1.187401000000000000e+06,2.440360553976029223e+03
4.224857435134841468e+33,1.197401000000000000e+06,2.418744448356644170e+03
4.195578747520343503e+33,1.207001000000000000e+06,2.397639624787113007e+03
4.160827526588001672e+33,1.216301000000000000e+06,2.377143181861380981e+03
4.121502567706370061e+33,1.225001000000000000e+06,2.357462794531716554e+03
4.077618587406119143e+33,1.232901000000000000e+06,2.338802645106054115e+03
4.028217103701253570e+33,1.240101000000000000e+06,2.321361818730872074e+03
3.971348818326248395e+33,1.246301000000000000e+06,2.305193635326087588e+03
3.904519822470218971e+33,1.251401000000000000e+06,2.290194712328526293e+03
3.825961263469171013e+33,1.255501000000000000e+06,2.276130150966734618e+03
3.735819278813977672e+33,1.258401000000000000e+06,2.262801932789484454e+03
3.635865617183366744e+33,1.260301000000000000e+06,2.249911067109133455e+03
3.528035170786322711e+33,1.261201000000000000e+06,2.237364880418295797e+03
3.413460099801230255e+33,1.261201000000000000e+06,2.225040546274428380e+03
3.292324418455743300e+33,1.260101000000000000e+06,2.212843261858104597e+03
3.164507337244065820e+33,1.258001000000000000e+06,2.200558648565046497e+03
3.030485153911457042e+33,1.254901000000000000e+06,2.187874425127443374e+03
2.891995274741360434e+33,1.251001000000000000e+06,2.174483411985691419e+03
2.751594105145581982e+33,1.246601000000000000e+06,2.160112955967673315e+03
2.611743644151965073e+33,1.241701000000000000e+06,2.144504061134671247e+03
2.474159946522169196e+33,1.236701000000000000e+06,2.127730874937996759e+03
2.339639514427694030e+33,1.231401000000000000e+06,2.109844064321551286e+03
2.208313916432178506e+33,1.226101000000000000e+06,2.090571916779983894e+03
2.080247274838045415e+33,1.220701000000000000e+06,2.069909568861052321e+03
1.956163661298261072e+33,1.215501000000000000e+06,2.047545847523048451e+03
1.837539547672733450e+33,1.210701000000000000e+06,2.023707763529032263e+03
1.725890295873081798e+33,1.206401000000000000e+06,1.998481286442726741e+03
1.622128236927836657e+33,1.202701000000000000e+06,1.972185928292214840e+03
1.526231033103267481e+33,1.199701000000000000e+06,1.945272574564919523e+03
1.437231003621371158e+33,1.197101000000000000e+06,1.918149779567369023e+03
1.353292755756360267e+33,1.194801000000000000e+06,1.890779631438120532e+03
1.272282975277542845e+33,1.192701000000000000e+06,1.862593454332195734e+03
1.192844404535905426e+33,1.190801000000000000e+06,1.833169126100410267e+03
1.115227742685204556e+33,1.189501000000000000e+06,1.801920167171613684e+03
1.040923345532166555e+33,1.189001000000000000e+06,1.768841931264622417e+03
9.715151316415962937e+32,1.189601000000000000e+06,1.734370472123515583e+03
9.079594318713781086e+32,1.191701000000000000e+06,1.698771773074576004e+03
8.504321062446626459e+32,1.195101000000000000e+06,1.662948792611029603e+03
7.984862218408981545e+32,1.199701000000000000e+06,1.627091758003343784e+03
7.512892060902113656e+32,1.205601000000000000e+06,1.591289863877976813e+03
7.079754623580960335e+32,1.212501000000000000e+06,1.555511858887480003e+03
6.680372901897169436e+32,1.220601000000000000e+06,1.519654766282471655e+03
6.314145873538135532e+32,1.230001000000000000e+06,1.483868229412975779e+03
5.982208488583911801e+32,1.240401000000000000e+06,1.448543006623512611e+03
5.684220888415956445e+32,1.251701000000000000e+06,1.414173785076599643e+03
5.417267783086780242e+32,1.263601000000000000e+06,1.381025566415919911e+03
