mass,radius,fmode
4.482839585755795741e+33,1.122301000000000000e+06,2.593403012658703574e+03
4.473639782985863451e+33,1.131201000000000000e+06,2.576882296535803107e+03
4.452812928332497917e+33,1.139601000000000000e+06,2.561944586764557243e+03
4.419883348826553228e+33,1.147701000000000000e+06,2.548338991450278627e+03
4.374957391176643057e+33,1.155301000000000000e+06,2.535762772924428191e+03
4.318603926727531053e+33,1.162401000000000000e+06,2.523812051006761067e+03
4.251714912662523755e+33,1.169101000000000000e+06,2.512064621572441865e+03
4.175338417148983824e+33,1.175501000000000000e+06,2.500129463352011044e+03
4.090583136258632444e+33,1.181401000000000000e+06,2.487581308139657722e+03
3.998574653582981524e+33,1.187101000000000000e+06,2.474146971952257445e+03
3.900428126278676857e+33,1.192601000000000000e+06,2.459343265708669151e+03
3.797273898368029473e+33,1.197801000000000000e+06,2.443059499983228307e+03
3.690232782414980830e+33,1.202901000000000000e+06,2.425055734984845913e+03
3.580413578645139172e+33,1.207901000000000000e+06,2.405172058029834261e+03
3.468871041493713087e+33,1.212901000000000000e+06,2.383248194039283590e+03
3.356579616097906451e+33,1.217901000000000000e+06,2.359381880860326419e+03
3.244383271752040713e+33,1.223001000000000000e+06,2.333476459409502695e+03
3.132947203713503067e+33,1.228101000000000000e+06,2.305836317109592073e+03
3.022755487690206645e+33,1.233301000000000000e+06,2.276182059350365307e+03
2.914097461279063469e+33,1.238601000000000000e+06,2.244947784456708177e+03
2.807143508673040414e+33,1.244101000000000000e+06,2.212042906322963972e+03
2.702028013191410733e+33,1.249701000000000000e+06,2.177579518823831677e+03
2.598965149923559663e+33,1.255601000000000000e+06,2.141520298503796312e+03
2.498357621734635574e+33,1.261801000000000000e+06,2.103952152514200861e+03
2.400841000579218816e+33,1.268501000000000000e+06,2.064953616004401283e+03
2.307264484644206871e+33,1.275701000000000000e+06,2.024771356469484090e+03
2.218588755689931079e+33,1.283401000000000000e+06,1.983733974509639438e+03
2.135747355431596573e+33,1.291801000000000000e+06,1.942391116030974217e+03
2.059510837161047644e+33,1.300801000000000000e+06,1.901276833215527404e+03
1.990388935993685084e+33,1.310301000000000000e+06,1.861055202153712344e+03
1.928547779461839500e+33,1.320201000000000000e+06,1.822362539121087821e+03
1.873787888593955989e+33,1.330301000000000000e+06,1.785679112008697984e+03
1.825547926315155408e+33,1.340301000000000000e+06,1.751435598459891253e+03
1.782925325890346813e+33,1.350001000000000000e+06,1.719880308268754561e+03
1.744719505082249267e+33,1.359201000000000000e+06,1.690963881183513649e+03
1.709477150070353197e+33,1.367701000000000000e+06,1.664588968563486333e+03
1.675551573487941550e+33,1.375401000000000000e+06,1.640431181508069130e+03
1.641146495867436716e+33,1.382101000000000000e+06,1.618044919198912112e+03
1.604420407136763837e+33,1.387701000000000000e+06,1.596915447447809584e+03
1.563598276689933023e+33,1.392101000000000000e+06,1.576592545928598156e+03
1.517197112546303437e+33,1.395201000000000000e+06,1.556612771473998691e+03
1.464307093666728608e+33,1.396901000000000000e+06,1.536605212626241837e+03
1.404856945048353755e+33,1.397301000000000000e+06,1.516271512536992077e+03
1.339684612600903188e+33,1.396401000000000000e+06,1.495389149501601878e+03
1.270370536942424525e+33,1.394601000000000000e+06,1.473830884448955885e+03
1.198896909538837447e+33,1.392201000000000000e+06,1.451470575141671134e+03
1.127244537296259445e+33,1.389701000000000000e+06,1.428310330132896524e+03
1.057121954334318486e+33,1.387401000000000000e+06,1.404371503576937585e+03
9.898280825295270226e+32,1.385701000000000000e+06,1.379734517019385294e+03
9.262237096565100149e+32,1.384801000000000000e+06,1.354529801495922129e+03
8.667850014394638669e+32,1.385001000000000000e+06,1.328894753165172233e+03
8.116700076532714980e+32,1.386201000000000000e+06,1.302983042839618292e+03
