mass,radius,fmode
4.962509350690135014e+33,1.133001000000000000e+06,2.485048073115689022e+03
4.957185851570077295e+33,1.142001000000000000e+06,2.472102841276691379e+03
4.944845587816863866e+33,1.150601000000000000e+06,2.460207500033593988e+03
4.925254982958759459e+33,1.158901000000000000e+06,2.449272878746346578e+03
4.898192859728716973e+33,1.166801000000000000e+06,2.439208416762600336e+03
4.863509457236358353e+33,1.174301000000000000e+06,2.429910031800136039e+03
4.821100890862716000e+33,1.181401000000000000e+06,2.421334894639063350e+03
4.770816029066151916e+33,1.187901000000000000e+06,2.413351016381175214e+03
4.712373556896392422e+33,1.193901000000000000e+06,2.405902918758330998e+03
4.645533851742203798e+33,1.199301000000000000e+06,2.398908696873706504e+03
4.570288947470790025e+33,1.204101000000000000e+06,2.392248262135092773e+03
4.486286369534137218e+33,1.208201000000000000e+06,2.385833048001911266e+03
4.392588622034703411e+33,1.211601000000000000e+06,2.379504177225051535e+03
4.289822660207373853e+33,1.214501000000000000e+06,2.372851751013070043e+03
4.180308797221408853e+33,1.216801000000000000e+06,2.365534361658394573e+03
4.065794754675336275e+33,1.218701000000000000e+06,2.357326141785563777e+03
3.947497786913949589e+33,1.220201000000000000e+06,2.348110716033821063e+03
3.826394471566312166e+33,1.221301000000000000e+06,2.337847508657639082e+03
3.703155131314212945e+33,1.222001000000000000e+06,2.326512170212187357e+03
3.578322548683473110e+33,1.222301000000000000e+06,2.314113120006703411e+03
3.452606473318770015e+33,1.222301000000000000e+06,2.300640155473835875e+03
3.326155682168598965e+33,1.222001000000000000e+06,2.286202660765061864e+03
3.198347379421431182e+33,1.221201000000000000e+06,2.270606574580420784e+03
3.070816868284258560e+33,1.220301000000000000e+06,2.253716594710460868e+03
2.947395598525316013e+33,1.219401000000000000e+06,2.235692275539399816e+03
2.830458416360538465e+33,1.218501000000000000e+06,2.217006056075651941e+03
2.720679227906156184e+33,1.217601000000000000e+06,2.198360717739720712e+03
2.616304505576012452e+33,1.216301000000000000e+06,2.180316728205047184e+03
2.509859721570033067e+33,1.214101000000000000e+06,2.162706503491140211e+03
2.394134927725876032e+33,1.210801000000000000e+06,2.144338948555878687e+03
2.276421375688683437e+33,1.207001000000000000e+06,2.124864879625811682e+03
2.165001126982301626e+33,1.203401000000000000e+06,2.104919475095437974e+03
2.062769111255833439e+33,1.200101000000000000e+06,2.085142143520979971e+03
1.969724524772427554e+33,1.196901000000000000e+06,2.066408347500484069e+03
1.881388710838055996e+33,1.193101000000000000e+06,2.049138037372414601e+03
1.786033059903474089e+33,1.187801000000000000e+06,2.032228129853483324e+03
1.680189806502957872e+33,1.180801000000000000e+06,2.014180337810487799e+03
1.573387982168725166e+33,1.173301000000000000e+06,1.995065844635609210e+03
1.471039985921572431e+33,1.166001000000000000e+06,1.974943664664464450e+03
1.374784870317200201e+33,1.159101000000000000e+06,1.954009468338604393e+03
1.285149042955080519e+33,1.152801000000000000e+06,1.932466030647215803e+03
1.201985202329037674e+33,1.147101000000000000e+06,1.910570798389944002e+03
1.125822778308503650e+33,1.142101000000000000e+06,1.888462362399697213e+03
1.057181941104473397e+33,1.137701000000000000e+06,1.866840300212247712e+03
9.949111822488673296e+32,1.133701000000000000e+06,1.846336306506174196e+03
9.351902062999881418e+32,1.129401000000000000e+06,1.826555396159478278e+03
8.719722001452880660e+32,1.124101000000000000e+06,1.805782073107801125e+03
8.040430708750171402e+32,1.118201000000000000e+06,1.782173135620654648e+03
7.364255570705377359e+32,1.112901000000000000e+06,1.755255628047399114e+03
6.715893977153959433e+32,1.108901000000000000e+06,1.724570320024807870e+03
6.093485509871615921e+32,1.107001000000000000e+06,1.688556159381745147e+03
5.508030108971307149e+32,1.108101000000000000e+06,1.645860681205002038e+03
4.975017944148420213e+32,1.113101000000000000e+06,1.595982836625533309e+03
4.499429807518939030e+32,1.122901000000000000e+06,1.538610736135513207e+03
4.083083228384262561e+32,1.138001000000000000e+06,1.473766431689896081e+03
