# r(km),m(msun)
1.155001000000000033e+01,2.509882426525863686e+00
1.155001000000000033e+01,2.510330727237327419e+00
1.155001000000000033e+01,2.510778602490570499e+00
1.155001000000000033e+01,2.511227545669399763e+00
1.155001000000000033e+01,2.511675382615988106e+00
1.156001000000000012e+01,2.512125717637406552e+00
1.156001000000000012e+01,2.512575589878666804e+00
1.156001000000000012e+01,2.513024864116523815e+00
1.156001000000000012e+01,2.513475380641353674e+00
1.156001000000000012e+01,2.513925880373549138e+00
1.157000999999999991e+01,2.514376838427158312e+00
1.157000999999999991e+01,2.514825609486768254e+00
1.157000999999999991e+01,2.515276910343127170e+00
1.157000999999999991e+01,2.515730453042187786e+00
1.157000999999999991e+01,2.516182835363649950e+00
1.157000999999999991e+01,2.516634854342350458e+00
1.158000999999999969e+01,2.517088247422258007e+00
1.158000999999999969e+01,2.517539992231500712e+00
1.158000999999999969e+01,2.517993395836131576e+00
1.158000999999999969e+01,2.518446838989917058e+00
1.158000999999999969e+01,2.518899609900552505e+00
1.159000999999999948e+01,2.519354727850937614e+00
1.159000999999999948e+01,2.519808667754921405e+00
1.159000999999999948e+01,2.520260403937996330e+00
1.159000999999999948e+01,2.520717416929615595e+00
1.159000999999999948e+01,2.521172613259165640e+00
1.159000999999999948e+01,2.521627801982527117e+00
1.160000999999999927e+01,2.522084025714189437e+00
1.160000999999999927e+01,2.522539920360120647e+00
1.160000999999999927e+01,2.522996433510896086e+00
1.160000999999999927e+01,2.523452260594059027e+00
1.160000999999999927e+01,2.523908671792340908e+00
1.161001000000000083e+01,2.524367544275333053e+00
1.161001000000000083e+01,2.524823213989698001e+00
1.161001000000000083e+01,2.525281487970317151e+00
1.161001000000000083e+01,2.525741497061761098e+00
1.161001000000000083e+01,2.526197040515537395e+00
1.161001000000000083e+01,2.526655264019200153e+00
1.162001000000000062e+01,2.527115048643064910e+00
1.162001000000000062e+01,2.527573334577646769e+00
1.162001000000000062e+01,2.528030233286914896e+00
1.162001000000000062e+01,2.528492749891615876e+00
1.162001000000000062e+01,2.528952408758429193e+00
1.163001000000000040e+01,2.529409946129317799e+00
1.163001000000000040e+01,2.529871123051862458e+00
1.163001000000000040e+01,2.530334002740562305e+00
1.163001000000000040e+01,2.530794785234664168e+00
1.163001000000000040e+01,2.531256071135719932e+00
1.163001000000000040e+01,2.531716912361951177e+00
